1094	"SNHG1"	"SNHG1"	chr11	-	62851977	62852681	62851977	62852436	62852655	62852681	1094	12,8,11	0,0,0	10,9,2	6,1,0	138	69	0.000156733111887	0.0259915743879275	1.0,1.0,1.0	0.455,0.818,1.0	0.242
1247	"IMP4"	"IMP4"	chr2	+	130345778	130346112	130345778	130345933	130346017	130346112	1247	8,2,1	0,0,1	0,0,0	5,1,4	138	69	2.85138579414e-11	4.9009183517019376e-08	1.0,1.0,0.333	0.0,0.0,0.0	0.778
1394	"TMEM91"	"TMEM91"	chr19	+	41383560	41384082	41383560	41383632	41383714	41384082	1394	15,1,429	0,0,0	93,34,284	10,2,2	138	69	4.22293947558e-05	0.008464662472541058	1.0,1.0,1.0	0.823,0.895,0.986	0.099
1397	"TMEM91"	"TMEM91"	chr19	+	41383560	41384082	41383560	41383632	41383885	41384082	1397	72,1,779	0,0,3	367,366,429	14,6,3	138	69	0.000345696557681	0.045258957222709874	1.0,1.0,0.992	0.929,0.968,0.986	0.036
1861	"SNX21"	"SNX21"	chr20	+	45840638	45843276	45840638	45840780	45842032	45843276	1861	20,6,27	0,0,1	29,17,17	10,1,0	138	69	0.000169995409769	0.026428973862524217	1.0,1.0,0.931	0.592,0.895,1.0	0.148
1876	"PNISR"	"PNISR"	chr6	-	99403828	99404702	99403828	99403882	99404602	99404702	1876	4,10,1	3,0,2	0,0,2	11,1,4	138	69	3.02597693098e-05	0.006842834196193409	0.4,1.0,0.2	0.0,0.0,0.2	0.467
1919	"RPL13"	"RPL13"	chr16	+	89561577	89561751	89561577	89561598	89561739	89561751	1919	726,79,375	23,0,9	1210,1134,625	3,18,3	138	69	4.41694671953e-05	0.008464662472541058	0.94,1.0,0.954	0.995,0.969,0.99	-0.02
2070	"UBE2Q1"	"UBE2Q1"	chr1	-	154552738	154553172	154552738	154552820	154553031	154553172	2070	2,0,61	55,8,757	14,11,10	694,461,307	138	69	1.83073199522e-06	0.0007204863523239039	0.018,0.0,0.039	0.01,0.012,0.016	0.006
233	"SEC14L1"	"SEC14L1"	chr17	+	77213917	77217099	77213917	77214019	77216548	77217099	233	246,5,2886	0,0,15	2069,787,976	33,6,22	138	69	8.98879285693e-06	0.0024844024701792637	1.0,1.0,0.99	0.969,0.985,0.957	0.026
2429	"TLN1"	"TLN1"	chr9	-	35698257	35698679	35698257	35698505	35698616	35698679	2429	39,0,1511	2142,11,20114	515,593,2139	17581,3818,20432	138	69	2.49259782912e-05	0.0059050829523200005	0.009,0.0,0.036	0.014,0.072,0.05	-0.03
2439	"TLN1"	"TLN1"	chr9	-	35705369	35705851	35705369	35705670	35705749	35705851	2439	98,0,1195	1650,5,10030	741,287,1210	16908,4389,18769	138	69	4.04813026889e-06	0.0013426298725151833	0.029,0.0,0.056	0.021,0.032,0.031	0.0
2454	"TLN1"	"TLN1"	chr9	-	35714238	35714654	35714238	35714373	35714573	35714654	2454	106,0,2592	1055,18,7508	807,130,1649	9332,3073,12699	138	69	7.21708847351e-07	0.0003989446128412472	0.048,0.0,0.147	0.041,0.021,0.061	0.024
2830	"MYL6"	"MYL6"	chr12	+	56160024	56160320	56160024	56160148	56160242	56160320	2830	168,0,1366	1867,14,17425	1691,461,1055	22315,11956,20980	138	69	3.85565010584e-05	0.008339938815893044	0.043,0.0,0.038	0.037,0.019,0.025	0.0
2938	"THBS1"	"THBS1"	chr15	+	39583965	39584422	39583965	39584187	39584299	39584422	2938	41,0,448	1371,5,3744	175,139,431	7828,3624,8638	138	69	3.65023566928e-11	4.9009183517019376e-08	0.015,0.0,0.056	0.011,0.019,0.024	0.006
3165	"GNAS"	"GNAS"	chr20	+	58909683	58910085	58909683	58909804	58909950	58910085	3165	476,0,1786	4214,3,23288	2274,1339,1580	20385,8205,12747	138	69	0.000176490542159	0.02660728628003106	0.053,0.0,0.037	0.053,0.075,0.058	-0.032
327	"PFN1"	"PFN1"	chr17	-	4945651	4946820	4945651	4945997	4946627	4946820	327	26,0,242	982,11,3628	125,86,240	6908,2669,4625	138	69	0.000260257343789	0.03596611903750764	0.013,0.0,0.032	0.009,0.016,0.025	-0.002
3278	"PTGS1"	"PTGS1"	chr9	+	122378432	122378851	122378432	122378573	122378774	122378851	3278	4,0,107	378,14,8120	138,191,130	6398,4400,3416	138	69	2.139926192e-05	0.005323066402600001	0.005,0.0,0.007	0.011,0.021,0.019	-0.013
3297	"CALM3"	"CALM3"	chr19	+	46607865	46608340	46607865	46608088	46608196	46608340	3297	104,1,1177	0,0,9	663,634,615	36,1,9	138	69	6.7962978011e-05	0.012075564843025893	1.0,1.0,0.985	0.902,0.997,0.972	0.038
3440	"GAPDH"	"GAPDH"	chr12	+	6536523	6536790	6536523	6536593	6536683	6536790	3440	45,0,423	915,31,4367	313,231,230	11297,5406,3776	138	69	6.54565931457e-08	5.427442514997625e-05	0.024,0.0,0.046	0.014,0.021,0.03	0.002
358	"UNKL"	"UNKL"	chr16	-	1363204	1366395	1363204	1364255	1366017	1366395	358	0,0,12	8,9,1	4,7,1	0,0,0	138	69	3.94043686569e-11	4.9009183517019376e-08	0.0,0.0,0.857	1.0,1.0,1.0	-0.714
3652	"MTMR14"	"MTMR14"	chr3	+	9684803	9685247	9684803	9684964	9685210	9685247	3652	8,6,5	0,0,30	3,1,0	35,16,21	138	69	1.63171552559e-06	0.0007204863523239039	1.0,1.0,0.077	0.041,0.03,0.0	0.669
3913	"TRAM1"	"TRAM1"	chr8	-	70586894	70587172	70586894	70586999	70587105	70587172	3913	4,0,263	251,1,1472	89,186,35	4264,1398,513	138	69	2.02866150434e-07	0.00012615738730114374	0.008,0.0,0.082	0.01,0.062,0.033	-0.005
3954	"SSR4"	"SSR4"	chrX	+	153797672	153798136	153797672	153797814	153798070	153798136	3954	9,0,162	63,6,1070	22,51,111	1645,639,768	138	69	1.62931563019e-07	0.00011579778943136071	0.067,0.0,0.07	0.007,0.038,0.067	0.008
3982	"BSG"	"BSG"	chr19	+	580312	580782	580312	580461	580645	580782	3982	10,0,267	128,8,1175	20,40,125	735,342,872	138	69	4.42374320173e-05	0.008464662472541058	0.038,0.0,0.102	0.013,0.055,0.067	0.002
4051	"GRAP2"	"GRAP2"	chr22	+	39959812	39960174	39959812	39959852	39960054	39960174	4051	98,15,1151	0,0,22	824,597,301	26,43,15	138	69	6.89855001523e-06	0.0020188403721040737	1.0,1.0,0.963	0.941,0.874,0.909	0.08
4096	"MEST"	"MEST"	chr7	+	130497990	130498275	130497990	130498013	130498138	130498275	4096	12,0,154	88,3,776	118,392,216	739,840,332	138	69	0.000162695309485	0.02610997305444758	0.064,0.0,0.09	0.074,0.189,0.245	-0.118
4299	"ODC1"	"ODC1"	chr2	-	10441837	10442174	10441837	10441929	10442011	10442174	4299	17,0,335	440,1,3471	241,78,120	8560,3412,2306	138	69	1.95632399169e-12	9.73271185865775e-09	0.019,0.0,0.046	0.014,0.011,0.025	0.005
4398	"TMBIM1"	"TMBIM1"	chr2	-	218279037	218279329	218279037	218279091	218279288	218279329	4398	17,0,470	296,1,2155	74,149,148	2606,1368,1018	138	69	3.88343771618e-06	0.0013426298725151833	0.028,0.0,0.098	0.014,0.052,0.068	-0.003
459	"CD164"	"CD164"	chr6	-	109366513	109369017	109366513	109368325	109368921	109369017	459	177,13,2007	0,0,1	2437,1185,873	32,26,2	138	69	5.06758265051e-06	0.0015757014803929532	1.0,1.0,0.999	0.974,0.958,0.995	0.024
5144	"PPP4R3B"	"PPP4R3B"	chr2	-	55564901	55565211	55564901	55565041	55565155	55565211	5144	4,7,11	0,0,1	15,16,12	4,6,0	138	69	0.000150811234019	0.02587192721532845	1.0,1.0,0.846	0.652,0.571,1.0	0.208
5275	"CMTM5"	"CMTM5"	chr14	+	23378674	23379123	23378674	23378869	23379030	23379123	5275	2,6,262	0,0,6	110,139,233	34,3,17	138	69	0.000200000453433	0.029264772230269853	1.0,1.0,0.956	0.618,0.959,0.873	0.169
5302	"MBD4"	"MBD4"	chr3	-	129433849	129434133	129433849	129433984	129434061	129434133	5302	0,0,1	7,4,20	10,4,7	46,50,30	138	69	0.000332897041207	0.044761156216346625	0.0,0.0,0.024	0.098,0.038,0.104	-0.072
542	"ATP2A3"	"ATP2A3"	chr17	-	3923872	3925441	3923872	3924801	3925395	3925441	542	205,5,4971	0,0,56	2621,1080,5078	49,75,115	138	69	5.72003311383e-09	5.69143294826085e-06	1.0,1.0,0.978	0.964,0.878,0.957	0.06
5790	"TBPL1"	"TBPL1"	chr6	+	133982550	133982880	133982550	133982650	133982816	133982880	5790	5,8,58	37,10,342	27,40,14	714,549,195	138	69	2.129272194e-05	0.005323066402600001	0.063,0.286,0.078	0.019,0.035,0.035	0.113
5813	"TNPO2"	"TNPO2"	chr19	-	12715242	12715710	12715242	12715324	12715404	12715710	5813	8,5,19	0,0,31	3,6,14	48,14,25	138	69	0.000226322841019	0.03217017525912928	1.0,1.0,0.235	0.03,0.176,0.219	0.603
605	"STX10"	"STX10"	chr19	-	13144057	13144671	13144057	13144486	13144576	13144671	605	0,0,0	3,8,9	0,6,3	6,8,6	138	69	4.65112969448e-05	0.008570137122236296	0.0,0.0,0.0	0.0,0.273,0.2	-0.158
6375	"PIH1D1"	"PIH1D1"	chr19	-	49447826	49448059	49447826	49447908	49448000	49448059	6375	3,12,9	23,10,57	1,3,3	90,74,58	138	69	1.88267790557e-06	0.0007204863523239039	0.061,0.375,0.073	0.006,0.02,0.025	0.153
6439	"ACRBP"	"ACRBP"	chr12	-	6638587	6639037	6638587	6638821	6638953	6639037	6439	526,6,3692	0,0,19	5378,5006,1338	87,66,11	138	69	8.38760586319e-07	0.00041728339169370255	1.0,1.0,0.99	0.969,0.974,0.984	0.021
