ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
1203	"ZNF431"	"ZNF431"	chr19	+	21182622	21196053	21182622	21184597	21189864	21196053	1203	22,18,167	0,0,1	16,189,183	6,7,2	5336	69	6.12967688918e-06	0.0041926989921991205	1.0,1.0,0.683	0.033,0.259,0.542	0.616
2017	"SRSF1"	"SRSF1"	chr17	-	58000918	58005973	58000918	58005600	58005800	58005973	2017	0,0,13	22,20,76	4,13,42	22,78,60	269	69	8.67109691243e-05	0.029653780586144398	0.0,0.0,0.042	0.045,0.041,0.152	-0.065
2852	"ARHGAP9"	"ARHGAP9"	chr12	-	57475488	57475931	57475488	57475615	57475832	57475931	2852	0,0,0	16,8,5	0,3,11	8,5,23	286	69	8.48136942783e-05	0.029653780586144398	0.0,0.0,0.0	0.0,0.126,0.103	-0.076
3163	"UBR4"	"UBR4"	chr1	-	19145792	19146106	19145792	19145933	19146022	19146106	3163	2,7,2	0,0,2	0,0,4	4,1,1	158	69	5.77574034943e-05	0.027654244793070843	1.0,1.0,0.304	0.0,0.0,0.636	0.556
33	"WIPF1"	"WIPF1"	chr2	-	174559573	174562602	174559573	174562125	174562550	174562602	33	2650,14,29395	8,0,94	2063,15776,15243	2,9,14	494	69	1.25125275974e-06	0.001198199642727024	0.979,1.0,0.978	0.993,0.996,0.993	-0.008
3382	"CD164"	"CD164"	chr6	-	109366513	109369017	109366513	109368325	109368910	109369017	3382	40,9,765	0,0,1	310,311,104	0,6,4	654	69	0.000149855260477	0.042330113191548	1.0,1.0,0.988	1.0,0.845,0.733	0.137
358	"UNKL"	"UNKL"	chr16	-	1363204	1366395	1363204	1364255	1366017	1366395	358	2,0,174	8,9,1	14,196,126	0,0,0	1831	69	5.99520433298e-14	2.870503834630824e-10	0.009,0.0,0.868	1.0,1.0,1.0	-0.708
3976	"MEST"	"MEST"	chr7	+	130497990	130498275	130497990	130498013	130498138	130498275	3976	12,0,154	88,3,776	14,173,185	39,345,379	194	69	1.39485756279e-10	3.3392890053192595e-07	0.046,0.0,0.066	0.113,0.151,0.148	-0.1
5064	"CMTM5"	"CMTM5"	chr14	+	23378668	23379122	23378668	23378869	23379030	23379122	5064	2,6,263	0,0,6	10,100,158	4,18,20	230	69	8.26946410459e-07	0.000989854853319423	1.0,1.0,0.929	0.429,0.625,0.703	0.391
5090	"MBD4"	"MBD4"	chr3	-	129433849	129434133	129433849	129433984	129434061	129434133	5090	0,0,1	7,4,20	14,8,4	8,22,44	146	69	1.23336844727e-05	0.00738171015691095	0.0,0.0,0.023	0.453,0.147,0.041	-0.206
5557	"TBPL1"	"TBPL1"	chr6	+	133982550	133982880	133982550	133982650	133982816	133982880	5557	5,8,58	37,10,342	9,25,9	102,271,237	235	69	0.000150294888107	0.042330113191548	0.038,0.19,0.047	0.025,0.026,0.011	0.071
935	"MAF"	"MAF"	chr16	-	79593837	79600737	79593837	79594553	79598784	79600737	935	8,60,32	0,0,0	13,48,97	0,1,4	4300	69	7.87462897955e-05	0.029653780586144398	1.0,1.0,1.0	1.0,0.435,0.28	0.428
