ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
1	"MLC1"	"MLC1"	chr22	-	50085138	50085426	50085354	50085426	50084725	50084961	1	8,1,29	19,30,171	2,1,8	146,46,58	138	69	8.5590709726e-05	0.01130529780769616	0.174,0.016,0.078	0.007,0.011,0.065	0.062
10003	"LIMS1"	"LIMS1"	chr2	+	108588305	108588504	108588305	108588425	108670780	108670847	10003	0,2,0	1,24,14	6,5,4	20,34,6	138	69	0.000307678215328	0.024413545265459625	0.0,0.04,0.0	0.13,0.068,0.25	-0.136
10052	"ZNF778"	"ZNF778"	chr16	+	89223156	89223384	89223156	89223283	89224718	89224802	10052	0,0,0	1,10,6	4,3,1	12,6,5	138	69	0.000434967248261	0.03078567844573412	0.0,0.0,0.0	0.143,0.2,0.091	-0.145
1006	"ZNF148"	"ZNF148"	chr3	-	125323308	125323444	125323387	125323444	125313307	125313656	1006	67,313,165	0,12,8	385,451,120	0,3,1	138	69	3.09578624191e-06	0.001796705883769081	1.0,0.929,0.912	1.0,0.987,0.984	-0.043
10136	"SAR1A"	"SAR1A"	chr10	-	70170073	70170514	70170412	70170514	70161857	70161931	10136	0,2,4	14,27,39	14,2,22	72,20,66	138	69	0.00065560677773	0.03936124338538651	0.0,0.036,0.049	0.089,0.048,0.143	-0.065
10195	"EFCAB13"	"EFCAB13"	chr17	+	47341352	47341638	47341352	47341499	47341920	47342032	10195	12,3,1	8,11,22	2,2,2	113,77,11	138	69	1.87235271036e-05	0.004474482424181491	0.429,0.12,0.022	0.009,0.013,0.083	0.155
10206	"EFCAB13"	"EFCAB13"	chr17	+	47389222	47389427	47389222	47389377	47391436	47391580	10206	0,2,0	2,0,2	10,8,6	0,0,0	119	69	1.81481740569e-06	0.0012288128653926988	0.0,1.0,0.0	1.0,1.0,1.0	-0.667
10284	"SNCA"	"SNCA"	chr4	-	89836059	89836529	89836460	89836529	89835546	89835692	10284	2,6,11	0,4,3	3,6,27	0,1,0	138	69	4.01446223106e-05	0.0076428978310687	1.0,0.429,0.647	1.0,0.75,1.0	-0.225
10308	"OTULIN"	"OTULIN"	chr5	+	14681463	14681624	14681463	14681607	14687520	14687646	10308	0,0,2	1,31,55	12,4,0	51,27,43	86	69	0.000212984305769	0.019665228195844077	0.0,0.0,0.028	0.159,0.106,0.0	-0.079
10472	"RGPD8"	"RGPD8"	chr2	-	112399931	112400194	112400035	112400194	112399631	112399769	10472	0,1,1	16,18,38	3,22,1	50,128,3	138	69	0.000227864413686	0.02048057449205185	0.0,0.027,0.013	0.029,0.079,0.143	-0.07
1057	"SAMD9L"	"SAMD9L"	chr7	-	93146882	93147146	93147087	93147146	93145384	93146040	1057	5,2,4	3,1,3	7,9,3	0,1,0	138	69	3.51415116229e-06	0.00192926898809721	0.455,0.5,0.4	1.0,0.818,1.0	-0.488
10757	"CTSA"	"CTSA"	chr20	+	45891334	45891449	45891334	45891379	45891568	45891762	10757	0,49,43	25,258,176	8,14,53	75,121,4698	138	69	0	0.0	0.0,0.087,0.109	0.051,0.055,0.006	0.028
10804	"PPP2R5A"	"PPP2R5A"	chr1	+	212329134	212329331	212329134	212329270	212333496	212333598	10804	108,216,287	18,5,9	486,461,122	3,6,4	130	69	1.45455269496e-05	0.0039927471476652	0.761,0.958,0.944	0.989,0.976,0.942	-0.081
10910	"CD27-AS1"	"CD27-AS1"	chr12	-	6447937	6448041	6448036	6448041	6446960	6447087	10910	4,4,7	56,171,158	85,6,5	270,194,142	138	69	1.17510978355e-05	0.003729688286445492	0.034,0.012,0.022	0.136,0.015,0.017	-0.033
11053	"GNAS"	"GNAS"	chr20	+	58889179	58889332	58889179	58889213	58895611	58895684	11053	4,11,12	2,3,1	7,6,15	0,1,0	138	69	0.000536969657113	0.03471047147649714	0.5,0.647,0.857	1.0,0.75,1.0	-0.249
11210	"BCAS3"	"BCAS3"	chr17	+	60688931	60689046	60688931	60688987	60689685	60689761	11210	2,3,6	0,0,0	4,4,6	8,1,0	128	69	0.000138676076935	0.01564959528211475	1.0,1.0,1.0	0.212,0.683,1.0	0.368
11259	"RSU1"	"RSU1"	chr10	-	16816712	16817084	16816895	16817084	16782033	16782084	11259	4,0,1	0,1,0	0,0,1	4,2,0	138	69	0.000164431256149	0.016786487153659747	1.0,0.0,1.0	0.0,0.0,1.0	0.333
11295	"MFNG"	"MFNG"	chr22	-	37485922	37486384	37485947	37486384	37480196	37480299	11295	1,10,19	0,0,1	27,17,5	0,3,7	94	69	0.000298914112469	0.02409461256580475	1.0,1.0,0.933	1.0,0.806,0.344	0.261
11345	"XRN1"	"XRN1"	chr3	-	142376478	142376795	142376661	142376795	142375797	142375944	11345	26,99,65	0,0,1	134,104,74	12,1,0	138	69	0.000540161426459	0.03471047147649714	1.0,1.0,0.97	0.848,0.981,1.0	0.047
11559	"TUBA4A"	"TUBA4A"	chr2	-	219253208	219253369	219253262	219253369	219252007	219252230	11559	96,688,387	0,5,10	566,420,460	22,12,17	123	69	0.000160337518078	0.016654753127903328	1.0,0.987,0.956	0.935,0.952,0.938	0.039
