ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
10436	"CHD1L"	"CHD1L"	chr1	+	147252622	147252735	147242683	147242830	147254869	147254976	10436	47,1,514	2,0,14	373,290,388	0,1,4	182	69	0.000108562577157	0.04787015951029873	0.899,1.0,0.933	1.0,0.991,0.974	-0.044
10615	"C9orf78"	"C9orf78"	chr9	-	129834706	129834766	129833657	129833709	129835138	129835275	10615	4,3,50	0,0,10	64,39,46	0,0,0	129	69	1.02422590399e-05	0.00837801945610139	1.0,1.0,0.728	1.0,1.0,1.0	-0.091
12522	"NAP1L1"	"NAP1L1"	chr12	-	76068908	76068994	76067370	76067473	76084566	76084685	12522	2451,41,12806	7,0,289	17886,15880,10418	154,78,58	155	69	8.32178770338e-12	5.871125247080883e-08	0.994,1.0,0.952	0.981,0.989,0.988	-0.004
13092	"MBOAT2"	"MBOAT2"	chr2	-	8943186	8943264	8908620	8908716	9003539	9003684	13092	149,1,679	7,0,20	1914,3034,470	22,7,19	147	69	5.79854757883e-05	0.02948430845916613	0.909,1.0,0.941	0.976,0.995,0.921	-0.014
13135	"MATR3"	"MATR3"	chr5	+	139307238	139308327	139293749	139294028	139314674	139314736	13135	589,10,4232	2,0,43	3271,3669,1995	3,12,7	1158	69	4.81529057461e-05	0.026386389837044954	0.946,1.0,0.854	0.985,0.948,0.944	-0.026
1555	"RPS21"	"RPS21"	chr20	+	62387842	62387914	62387610	62387674	62388308	62388364	1555	429,32,173	0,0,0	407,499,117	18,5,0	141	69	3.79654636249e-05	0.022320924296385217	1.0,1.0,1.0	0.917,0.98,1.0	0.034
15928	"GUCY1A1"	"GUCY1A1"	chr4	+	155713097	155713583	155708235	155708294	155717158	155717302	15928	800,4,8181	0,0,4	4286,3405,7030	10,29,29	555	69	1.00652720603e-08	2.7052096207399633e-05	1.0,1.0,0.996	0.982,0.936,0.968	0.037
15977	"RCAN3"	"RCAN3"	chr1	+	24531217	24531391	24514313	24514567	24533082	24533254	15977	22,20,174	0,0,0	312,202,212	18,2,11	243	69	6.69853958746e-07	0.0010802064938737997	1.0,1.0,1.0	0.831,0.966,0.846	0.119
16716	"GNPDA2"	"GNPDA2"	chr4	-	44710952	44711137	44707751	44707926	44726473	44726634	16716	13,8,164	0,0,1	65,135,46	10,0,2	254	69	0.00011133020445	0.04827979724649291	1.0,1.0,0.978	0.638,1.0,0.862	0.159
16859	"MDH2"	"MDH2"	chr7	+	76054829	76054998	76048105	76048226	76057409	76057493	16859	148,33,517	0,0,9	339,277,229	26,10,11	238	69	2.73590766964e-06	0.002913535184568891	1.0,1.0,0.943	0.791,0.889,0.858	0.135
17278	"C11orf21"	"C11orf21"	chr11	-	2300519	2300613	2299427	2299707	2301755	2301918	17278	55,13,631	0,0,4	379,490,861	2,8,32	163	69	6.16152563049e-05	0.030775457354910277	1.0,1.0,0.985	0.988,0.963,0.919	0.038
17935	"PTK2"	"PTK2"	chr8	-	140669726	140669735	140668268	140668424	140674297	140674404	17935	2,0,43	52,7,478	132,42,43	521,258,229	78	69	5.48585567195e-07	0.0009106681764133234	0.033,0.0,0.074	0.183,0.126,0.142	-0.115
1922	"KIAA1191"	"KIAA1191"	chr5	-	176355570	176355749	176352621	176352748	176359810	176359918	1922	106,10,776	12,0,3	502,481,741	0,0,0	248	69	3.30277811269e-05	0.021114380613615837	0.711,1.0,0.986	1.0,1.0,1.0	-0.101
20163	"PRPF40A"	"PRPF40A"	chr2	-	152679055	152679109	152677450	152677475	152679351	152679472	20163	2,8,31	0,0,0	50,35,17	5,4,0	123	69	9.39285354075e-05	0.04345426612241564	1.0,1.0,1.0	0.849,0.831,1.0	0.107
20538	"VAPB"	"VAPB"	chr20	+	58438944	58439025	58418210	58418363	58440906	58441083	20538	97,1,627	2,0,26	1190,1231,306	11,17,3	150	69	0.000105703247778	0.046976354392425965	0.957,1.0,0.917	0.98,0.971,0.979	-0.019
22378	"LINC00989"	"LINC00989"	chr4	+	79513784	79513902	79493151	79493585	79575140	79576460	22378	1155,1,8229	36,0,263	4965,8212,2950	42,254,31	187	69	4.19712445433e-05	0.02368899013268395	0.922,1.0,0.92	0.978,0.923,0.972	-0.01
22854	"MED1"	"MED1"	chr17	-	39440385	39440518	39439164	39439193	39440622	39440677	22854	32,16,52	0,0,0	65,69,30	4,6,0	202	69	3.64310583946e-05	0.021644267019469667	1.0,1.0,1.0	0.847,0.797,1.0	0.119
22942	"USP12"	"USP12"	chr13	-	27071070	27071149	27066155	27069384	27075190	27075388	22942	165,1,1339	0,0,14	1663,777,1146	57,16,26	148	69	1.39161034519e-05	0.010759435546968326	1.0,1.0,0.978	0.932,0.958,0.954	0.045
23808	"CDC14B"	"CDC14B"	chr9	-	96565392	96565483	96564776	96564852	96619218	96619843	23808	190,1,1839	12,0,18	2444,1587,1181	9,9,4	160	69	3.43120787571e-05	0.021114380613615837	0.872,1.0,0.978	0.992,0.987,0.992	-0.04
23809	"CDC14B"	"CDC14B"	chr9	-	96565392	96565512	96564776	96564852	96619218	96619843	23809	131,1,960	12,0,18	1746,1409,838	9,9,4	189	69	7.19745734901e-07	0.001128421361765204	0.799,1.0,0.951	0.986,0.983,0.987	-0.069
24736	"GIT2"	"GIT2"	chr12	-	109991626	109991760	109989689	109989802	109996172	109996368	24736	31,10,137	0,0,0	155,120,49	8,3,1	203	69	8.07064661963e-05	0.038932937252866395	1.0,1.0,1.0	0.868,0.931,0.943	0.086
24800	"LDHA"	"LDHA"	chr11	+	18399430	18399548	18396818	18396968	18400836	18401010	24800	68,64,227	0,0,0	137,185,78	16,0,0	187	69	4.01766485557e-05	0.022929020763892603	1.0,1.0,1.0	0.76,1.0,1.0	0.08
25161	"TANK"	"TANK"	chr2	+	161230970	161231551	161224630	161224746	161235341	161236213	25161	63,36,154	0,0,0	250,367,152	24,2,1	650	69	1.27609613806e-05	0.010144245370175276	1.0,1.0,1.0	0.525,0.951,0.942	0.194
2546	"PIGN"	"PIGN"	chr18	-	62084530	62084606	62082672	62082746	62085208	62085264	2546	57,9,223	0,0,0	911,1068,140	29,17,0	145	69	0.000111523281274	0.04827979724649291	1.0,1.0,1.0	0.937,0.968,1.0	0.032
25465	"PHKB"	"PHKB"	chr16	+	47665941	47666032	47663676	47663734	47669214	47669417	25465	142,2,1375	0,0,6	1692,762,948	33,16,2	160	69	9.36399790816e-05	0.04345426612241564	1.0,1.0,0.99	0.957,0.954,0.995	0.028
25506	"SHOC2"	"SHOC2"	chr10	+	110964124	110965061	110919542	110919657	111000414	111000545	25506	2800,2,15674	0,0,41	19556,23500,7346	1,8,4	1006	69	1.30513319796e-06	0.00165747148725158	1.0,1.0,0.963	0.999,0.995,0.992	-0.008
25509	"SHOC2"	"SHOC2"	chr10	+	110985627	110985765	110919542	110919657	111000414	111000545	25509	203,1,1836	0,0,41	2083,2845,692	1,8,4	207	69	5.45782308237e-11	2.60390258392117e-07	1.0,1.0,0.937	0.999,0.992,0.983	-0.012
25767	"SNHG6"	"SNHG6"	chr8	-	66922323	66922392	66921689	66922114	66922613	66922725	25767	328,6,5814	6,0,26	2251,4035,710	20,94,3	138	69	5.03250291439e-07	0.0008607257484578364	0.965,1.0,0.991	0.983,0.955,0.992	0.009
2586	"TPT1"	"TPT1"	chr13	-	45340711	45340785	45339993	45340184	45341041	45341183	2586	1998,77,4444	41,0,171	12075,6616,4368	165,150,22	143	69	1.08941693444e-08	2.7199243639415675e-05	0.959,1.0,0.926	0.972,0.955,0.99	-0.011
26866	"STXBP2"	"STXBP2"	chr19	+	7643164	7643245	7642982	7643048	7644613	7644752	26866	364,8,3242	0,0,495	3206,2387,2271	2,7,2	150	69	9.77995462392e-13	7.885577413266698e-09	1.0,1.0,0.751	0.999,0.994,0.998	-0.08
27214	"RO60"	"RO60"	chr1	+	193069033	193069634	193059873	193060222	193075819	193076040	27214	287,6,1973	6,0,20	1800,1607,1441	1,6,6	670	69	7.2527041143e-05	0.03559564112306141	0.831,1.0,0.91	0.995,0.965,0.961	-0.06
27361	"RAP1B"	"RAP1B"	chr12	+	68650399	68650468	68648698	68648781	68654111	68654252	27361	983,10,25831	14,0,366	10928,10795,9715	435,303,118	138	69	1.28111090869e-06	0.00165747148725158	0.972,1.0,0.972	0.926,0.947,0.976	0.032
28024	"NUFIP2"	"NUFIP2"	chr17	-	29285991	29287716	29267497	29267530	29293782	29294148	28024	162,52,434	0,0,0	680,547,291	16,1,1	1794	69	6.28403222802e-06	0.005629794650502807	1.0,1.0,1.0	0.62,0.955,0.918	0.169
28275	"ST6GAL1"	"ST6GAL1"	chr3	+	187042653	187043310	187038717	187038873	187051248	187051346	28275	515,26,3647	0,0,5	2568,2677,2743	30,8,9	726	69	3.17111521786e-06	0.0033144613705784493	1.0,1.0,0.986	0.891,0.97,0.967	0.053
29194	"TIA1"	"TIA1"	chr2	-	70225327	70225393	70224423	70224629	70227734	70227822	29194	10,0,43	112,2,347	125,162,39	735,423,201	135	69	1.58265701525e-05	0.011910232613030034	0.044,0.0,0.06	0.08,0.164,0.09	-0.077
29457	"BLOC1S6"	"BLOC1S6"	chr15	+	45592134	45592276	45587122	45587525	45603103	45603187	29457	116,1,1808	0,0,5	1583,1483,779	35,7,7	211	69	1.52053729198e-05	0.011597384499546375	1.0,1.0,0.992	0.937,0.986,0.973	0.032
29463	"BLOC1S6"	"BLOC1S6"	chr15	+	45592134	45592276	45587771	45587876	45603099	45603187	29463	71,1,1883	0,0,25	1093,1398,737	0,6,1	211	69	5.01502152431e-05	0.026492313639477093	1.0,1.0,0.961	1.0,0.987,0.996	-0.007
30643	"ARPC2"	"ARPC2"	chr2	+	218238663	218238850	218228737	218228850	218245419	218245546	30643	120,15,2131	0,0,2	1351,2027,1486	58,29,0	256	69	1.51801793358e-10	6.590650014552984e-07	1.0,1.0,0.997	0.863,0.95,1.0	0.061
30645	"ARPC2"	"ARPC2"	chr2	+	218239390	218239484	218228737	218228850	218245419	218245546	30645	239,32,1723	0,0,2	1554,1701,1157	58,29,0	163	69	3.12241454914e-10	1.1748813304534049e-06	1.0,1.0,0.997	0.919,0.961,1.0	0.039
30730	"TSPAN14"	"TSPAN14"	chr10	+	80509300	80509471	80489216	80489314	80512143	80512269	30730	15,3,449	0,0,0	256,178,367	12,5,1	240	69	1.76117221284e-05	0.0130792527453819	1.0,1.0,1.0	0.86,0.911,0.991	0.079
31051	"TBC1D15"	"TBC1D15"	chr12	+	71884810	71885021	71880468	71880607	71893221	71893324	31051	347,1,2785	6,0,72	2366,2535,754	114,124,31	280	69	8.90353111799e-05	0.04187701665253946	0.934,1.0,0.905	0.836,0.834,0.857	0.104
3148	"MBNL1"	"MBNL1"	chr3	+	152299404	152300367	152268928	152269092	152414940	152415111	3148	2216,4,27563	923,1,8486	40654,28748,25980	5682,6026,1578	1032	69	2.61953439995e-06	0.002843252712838038	0.138,0.211,0.178	0.324,0.242,0.524	-0.188
