ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
1	"MLC1"	"MLC1"	chr22	-	50085138	50085426	50085354	50085426	50084725	50084961	1	8,1,29	19,30,171	2,1,8	146,46,58	138	69	8.5590709726e-05	0.01130529780769616	0.174,0.016,0.078	0.007,0.011,0.065	0.062
4	"TTC31"	"TTC31"	chr2	+	74483321	74483563	74483321	74483410	74490243	74490473	4	0,0,5	0,0,0	0,0,0	0,1,0	138	69	1	1.0	NA,NA,1.0	NA,0.0,NA	1.0
6	"TTC31"	"TTC31"	chr2	+	74491480	74491672	74491480	74491666	74492003	74492051	6	0,3,0	0,1,3	15,2,0	0,0,2	75	69	1	1.0	NA,0.734,0.0	1.0,1.0,0.0	-0.3
7	"TTC31"	"TTC31"	chr2	+	74491943	74492055	74491943	74492051	74492138	74492229	7	6,3,3	0,1,0	10,0,2	0,0,0	73	69	1	1.0	1.0,0.739,1.0	1.0,NA,1.0	-0.087
8	"TTC31"	"TTC31"	chr2	+	74492138	74492233	74492138	74492229	74492303	74492445	8	3,0,0	3,1,4	0,0,1	0,0,2	73	69	1	1.0	0.486,0.0,0.0	NA,NA,0.321	-0.159
29	"CILK1"	"CILK1"	chr6	-	53061421	53061824	53061595	53061824	53041135	53041408	29	0,0,0	0,0,1	0,0,2	0,0,2	138	69	1	1.0	NA,NA,0.0	NA,NA,0.333	-0.333
32	"CUL7"	"CUL7"	chr6	-	43053621	43053851	43053710	43053851	43052112	43052796	32	0,0,1	0,0,0	7,0,0	1,1,0	138	69	1	1.0	NA,NA,1.0	0.778,0.0,NA	0.611
33	"ABI2"	"ABI2"	chr2	+	203366876	203367130	203366876	203367044	203380207	203380384	33	7,13,16	33,54,85	26,18,7	342,120,65	138	69	0.00576541449855	0.1683397944823681	0.096,0.107,0.086	0.037,0.07,0.051	0.044
56	"RPL41"	"RPL41"	chr12	+	56116632	56116799	56116632	56116659	56117481	56117967	56	9,73,31	2,0,1	73,177,49	7,6,0	138	69	0.0523722881277	0.7012777117587146	0.692,1.0,0.939	0.839,0.937,1.0	-0.048
71	"LINC00892"	"LINC00892"	chrX	+	136640773	136640873	136640773	136640840	136642102	136642429	71	118,153,276	0,3,9	260,257,168	14,9,10	102	69	0.00715057766295	0.19815782273874946	1.0,0.972,0.954	0.926,0.951,0.919	0.043
74	"U2AF2"	"U2AF2"	chr19	+	55669082	55669181	55669082	55669169	55669443	55669692	74	4,41,37	18,148,124	13,30,38	167,117,143	81	69	0.0620744736522	0.7836661176489363	0.159,0.191,0.203	0.062,0.179,0.185	0.042
82	"IRF2BP2"	"IRF2BP2"	chr1	-	234608446	234609525	234608494	234609525	234604268	234607852	82	9,35,25	0,16,10	18,30,12	1,20,3	117	69	0.965110706373	1.0	1.0,0.563,0.596	0.914,0.469,0.702	0.025
85	"LINC00476"	"LINC00476"	chr9	-	95874979	95875977	95875864	95875977	95850226	95850292	85	0,15,11	0,6,0	8,13,2	6,0,0	138	69	1	1.0	NA,0.556,1.0	0.4,1.0,1.0	-0.022
99	"CNOT6"	"CNOT6"	chr5	+	180564488	180564593	180564488	180564578	180564674	180564743	99	31,56,45	13,5,7	120,38,33	19,5,4	84	69	0.450839446909	1.0	0.662,0.902,0.841	0.838,0.862,0.871	-0.055
102	"ZNF767P"	"ZNF767P"	chr7	-	149551573	149551826	149551654	149551826	149550867	149550946	102	14,62,82	0,5,9	50,84,21	12,7,7	138	69	0.0559254287753	0.729644667058135	1.0,0.861,0.82	0.676,0.857,0.6	0.183
104	"SPPL2B"	"SPPL2B"	chr19	+	2351433	2351657	2351433	2351594	2352945	2355095	104	0,0,1	0,2,6	0,0,2	18,9,22	132	69	1	1.0	NA,0.0,0.08	0.0,0.0,0.045	0.025
110	"APTR"	"APTR"	chr7	-	77695895	77696265	77696171	77696265	77685201	77685328	110	0,6,6	0,1,1	0,9,2	0,0,0	138	69	1	1.0	NA,0.75,0.75	NA,1.0,1.0	-0.25
