ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
117	"STAT2"	"STAT2"	chr12	-	56355707	56355803	56355707	56355791	56356131	56356285	117	22,12,23	1,0,2	5,23,5	4,8,1	81	69	0.000108706580987	0.04964964035463943	0.949,1.0,0.907	0.516,0.71,0.81	0.273
120	"CD68"	"CD68"	chr17	+	7579809	7580327	7579890	7580327	7579637	7579726	120	208,3,5620	10,0,67	3349,1939,1556	112,65,40	138	69	5.55974641336e-06	0.0060019989689681814	0.912,1.0,0.977	0.937,0.937,0.951	0.021
14763	"RPS4X"	"RPS4X"	chrX	-	72275052	72275174	72275052	72275150	72275543	72275724	14763	28,9,0	162,42,171	48,0,0	705,570,180	93	69	6.35004010991e-05	0.035907964907229174	0.114,0.137,0.0	0.048,0.0,0.0	0.068
15157	"ERBIN"	"ERBIN"	chr5	+	65992709	65992907	65992816	65992907	65988634	65988682	15157	544,4,1195	2,0,3	3230,2276,578	30,46,3	138	69	7.48296761427e-05	0.037812868263598406	0.993,1.0,0.995	0.982,0.961,0.99	0.018
15200	"NAP1L1"	"NAP1L1"	chr12	-	76049199	76049300	76049199	76049250	76049755	76049785	15200	114,0,2153	273,5,5705	1018,359,269	4500,4659,3148	119	69	1.60277543571e-07	0.00025377277732075	0.195,0.0,0.18	0.116,0.043,0.047	0.056
15921	"PPIF"	"PPIF"	chr10	+	79352268	79352392	79352316	79352392	79351486	79351583	15921	13,0,43	68,6,263	31,20,55	875,310,450	117	69	9.8583208183e-05	0.046827023886925	0.101,0.0,0.088	0.02,0.037,0.067	0.022
19183	"TMBIM1"	"TMBIM1"	chr2	-	218279037	218279101	218279037	218279091	218279288	218279353	19183	8,0,399	296,1,2155	0,113,108	2606,1368,1018	79	69	1.15183514461e-05	0.010930735918038463	0.023,0.0,0.139	0.0,0.067,0.085	0.003
21779	"SMC6"	"SMC6"	chr2	-	17714860	17715065	17714860	17715062	17716085	17716264	21779	9,13,12	0,0,0	87,27,6	20,0,0	72	69	3.8809618719e-05	0.02491157958314189	1.0,1.0,1.0	0.807,1.0,1.0	0.064
23952	"ZNF736"	"ZNF736"	chr7	+	64336886	64336982	64336907	64336982	64336258	64336385	23952	18,4,16	0,0,0	14,12,9	8,0,2	90	69	1.19662793208e-05	0.010930735918038463	1.0,1.0,1.0	0.573,1.0,0.775	0.217
25653	"DENND6A"	"DENND6A"	chr3	-	57663635	57663716	57663635	57663713	57666122	57666235	25653	8,1,37	1,0,1	107,94,13	28,14,3	72	69	2.21687301427e-05	0.01706357018397984	0.885,1.0,0.973	0.786,0.865,0.806	0.134
26599	"SP100"	"SP100"	chr2	+	230449313	230449710	230449560	230449710	230449087	230449150	26599	4,0,5	63,5,154	13,53,9	158,211,35	138	69	3.48266324113e-07	0.0005169578248552344	0.031,0.0,0.016	0.04,0.112,0.114	-0.073
28446	"INTS13"	"INTS13"	chr12	-	26913973	26914128	26913973	26914001	26914407	26914578	28446	11,26,29	0,0,0	34,39,10	8,4,0	138	69	3.28725380272e-06	0.003717727514980952	1.0,1.0,1.0	0.68,0.83,1.0	0.163
28605	"RBM41"	"RBM41"	chrX	-	107115351	107115556	107115351	107115553	107115861	107116054	28605	15,2,37	0,0,0	106,41,25	11,4,2	72	69	4.34025060703e-05	0.02697794667178125	1.0,1.0,1.0	0.902,0.908,0.923	0.089
29774	"CIRBP"	"CIRBP"	chr19	+	1271139	1271365	1271328	1271365	1270927	1271036	29774	198,6,598	14,0,9	433,525,693	0,3,2	138	69	7.98725379614e-07	0.0011158663391666176	0.876,1.0,0.971	1.0,0.989,0.994	-0.045
3831	"NCAPH2"	"NCAPH2"	chr22	+	50522497	50522569	50522500	50522569	50522342	50522415	3831	0,0,0	4,5,5	5,5,0	0,10,3	72	69	8.53678257985e-05	0.041377262504375	0.0,0.0,0.0	1.0,0.324,0.0	-0.441
4095	"ARL6IP4"	"ARL6IP4"	chr12	+	122981570	122981879	122981594	122981879	122981128	122981299	4095	0,0,5	22,4,5	13,14,6	14,4,4	93	69	7.3349979162e-05	0.037812868263598406	0.0,0.0,0.426	0.408,0.722,0.527	-0.41
412	"MBNL1"	"MBNL1"	chr3	+	152447619	152447773	152447724	152447773	152445281	152445539	412	2765,5,21331	12,0,212	19063,15035,6517	354,194,76	138	69	2.87981756751e-05	0.020725959766170456	0.991,1.0,0.981	0.964,0.975,0.977	0.019
5519	"CPSF4"	"CPSF4"	chr7	+	99453965	99454136	99454040	99454136	99452367	99452440	5519	3,10,6	0,0,2	0,1,1	8,1,1	138	69	1.5449531654e-09	7.203031689633334e-06	1.0,1.0,0.6	0.0,0.333,0.333	0.645
8363	"TOP2B"	"TOP2B"	chr3	-	25630028	25630174	25630028	25630154	25630311	25630469	8363	0,0,0	7,6,83	18,0,1	67,46,29	89	69	1.37417666655e-05	0.011655962796629464	0.0,0.0,0.0	0.172,0.0,0.026	-0.066
8654	"GFI1B"	"GFI1B"	chr9	+	132987281	132987418	132987340	132987418	132986658	132986778	8654	1602,5,4463	15,0,64	7525,5128,2458	29,24,32	128	69	6.80301256726e-05	0.03757477871451744	0.983,1.0,0.974	0.993,0.991,0.976	-0.001
