ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
117	"STAT2"	"STAT2"	chr12	-	56355707	56355803	56355707	56355791	56356131	56356285	117	22,12,23	1,0,2	5,23,5	4,8,1	81	69	0.000108706580987	0.04382349201314907	0.949,1.0,0.907	0.516,0.71,0.81	0.273
120	"CD68"	"CD68"	chr17	+	7579809	7580327	7579890	7580327	7579637	7579726	120	208,3,5689	10,0,67	3351,1957,1568	112,65,40	150	69	1.08577947986e-05	0.00993279420325773	0.905,1.0,0.975	0.932,0.933,0.947	0.023
14763	"RPS4X"	"RPS4X"	chrX	-	72275052	72275174	72275052	72275150	72275543	72275724	14763	28,9,0	162,42,171	48,0,0	705,570,180	93	69	6.35004010991e-05	0.03213525617323603	0.114,0.137,0.0	0.048,0.0,0.0	0.068
15157	"ERBIN"	"ERBIN"	chr5	+	65992709	65992907	65992816	65992907	65988634	65988682	15157	544,4,1195	2,0,3	3230,2276,578	30,46,3	176	69	1.70142168802e-05	0.012646348390486157	0.991,1.0,0.994	0.977,0.951,0.987	0.023
15200	"NAP1L1"	"NAP1L1"	chr12	-	76049199	76049300	76049199	76049250	76049755	76049785	15200	114,0,2153	273,5,5705	1018,359,269	4500,4659,3148	119	69	1.60277543571e-07	0.00027230009813115967	0.195,0.0,0.18	0.116,0.043,0.047	0.056
15921	"PPIF"	"PPIF"	chr10	+	79352268	79352392	79352316	79352392	79351486	79351583	15921	13,0,43	68,6,263	31,20,55	875,310,450	117	69	9.8583208183e-05	0.041778628837468246	0.101,0.0,0.088	0.02,0.037,0.067	0.022
1644	"URI1"	"URI1"	chr19	+	30014886	30016612	30015535	30016612	30012284	30012531	1644	36,3,67	0,10,1	26,66,27	0,0,0	718	69	0.00012769850374	0.048211252562792066	1.0,0.028,0.866	1.0,1.0,1.0	-0.369
18736	"ODC1"	"ODC1"	chr2	-	10444930	10445244	10444930	10445049	10448120	10448327	18736	4,3,198	0,0,1	109,78,130	9,4,1	264	69	3.46606321012e-05	0.02132798839209323	1.0,1.0,0.981	0.76,0.836,0.971	0.138
19183	"TMBIM1"	"TMBIM1"	chr2	-	218279037	218279101	218279037	218279091	218279288	218279353	19183	8,0,399	296,1,2155	0,113,108	2606,1368,1018	79	69	1.15183514461e-05	0.010070136572870671	0.023,0.0,0.139	0.0,0.067,0.085	0.003
19342	"SEPT5-GP1BB"	"SEPT5-GP1BB"	chr22	+	19723853	19724774	19724616	19724774	19722427	19723579	19342	865,1,14469	0,0,12	8108,4007,6149	15,29,2	832	69	6.78035825732e-05	0.033022378349444714	1.0,1.0,0.99	0.978,0.92,0.996	0.032
