ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
1	"MLC1"	"MLC1"	chr22	-	50085138	50085426	50085354	50085426	50084725	50084961	1	12,2,54	19,30,171	14,5,12	146,46,58	285	69	0.000572817598004	0.03676840506433223	0.133,0.016,0.071	0.023,0.026,0.048	0.041
10003	"LIMS1"	"LIMS1"	chr2	+	108588305	108588504	108588305	108588425	108670780	108670847	10003	0,2,0	1,24,14	6,5,4	20,34,6	148	69	0.000338287655747	0.026155786473893043	0.0,0.037,0.0	0.123,0.064,0.237	-0.129
10052	"ZNF778"	"ZNF778"	chr16	+	89223156	89223384	89223156	89223283	89224718	89224802	10052	0,0,0	1,10,6	4,3,1	12,6,5	170	69	0.000863458975109	0.047634931351148393	0.0,0.0,0.0	0.119,0.169,0.075	-0.121
1006	"ZNF148"	"ZNF148"	chr3	-	125323308	125323444	125323387	125323444	125313307	125313656	1006	69,318,170	0,12,8	385,483,123	0,3,1	148	69	2.37779688139e-06	0.001277252366919281	1.0,0.925,0.908	1.0,0.987,0.983	-0.046
10084	"ICE2"	"ICE2"	chr15	-	60448847	60449841	60449484	60449841	60447969	60448145	10084	8,15,9	0,1,0	29,13,15	0,1,5	706	69	0.000587105814938	0.03717659573659493	1.0,0.594,1.0	1.0,0.56,0.227	0.269
10195	"EFCAB13"	"EFCAB13"	chr17	+	47341352	47341638	47341352	47341499	47341920	47342032	10195	12,3,1	8,11,22	2,2,2	113,77,11	208	69	9.29311297881e-06	0.0033279126688328022	0.332,0.083,0.015	0.006,0.009,0.057	0.119
10206	"EFCAB13"	"EFCAB13"	chr17	+	47389222	47389427	47389222	47389377	47391436	47391580	10206	0,2,0	2,0,2	10,8,6	0,0,0	119	69	1.81481740569e-06	0.0011225470571195235	0.0,1.0,0.0	1.0,1.0,1.0	-0.667
10284	"SNCA"	"SNCA"	chr4	-	89836059	89836529	89836460	89836529	89835546	89835692	10284	4,8,12	0,4,3	3,10,30	0,1,0	470	69	3.20931931967e-05	0.006617032924555963	1.0,0.227,0.37	1.0,0.595,1.0	-0.333
10308	"OTULIN"	"OTULIN"	chr5	+	14681463	14681624	14681463	14681607	14687520	14687646	10308	0,0,2	1,31,55	12,4,0	51,27,43	86	69	0.000212984305769	0.019151698895845056	0.0,0.0,0.028	0.159,0.106,0.0	-0.079
10472	"RGPD8"	"RGPD8"	chr2	-	112399931	112400194	112400035	112400194	112399631	112399769	10472	0,1,1	16,18,38	3,22,1	50,128,3	173	69	0.000353691172566	0.027039491439764765	0.0,0.022,0.01	0.023,0.064,0.117	-0.057
10476	"RNF24"	"RNF24"	chr20	-	4015144	4015558	4015436	4015558	3989584	3989855	10476	14,42,25	16,39,52	36,31,23	152,89,27	361	69	0.000698790293946	0.04122458809255998	0.143,0.171,0.084	0.043,0.062,0.14	0.051
10477	"RNF24"	"RNF24"	chr20	-	4015200	4015558	4015436	4015558	3989584	3989855	10477	12,35,32	16,39,52	41,25,20	152,89,27	305	69	0.000329570202848	0.026041165122369026	0.145,0.169,0.122	0.058,0.06,0.144	0.058
1057	"SAMD9L"	"SAMD9L"	chr7	-	93146882	93147146	93147087	93147146	93145384	93146040	1057	5,2,10	3,1,3	7,17,3	0,1,0	274	69	1.92713175406e-06	0.0011569592165844916	0.296,0.335,0.456	1.0,0.811,1.0	-0.575
10757	"CTSA"	"CTSA"	chr20	+	45891334	45891449	45891334	45891379	45891568	45891762	10757	0,49,43	25,258,176	8,14,53	75,121,4698	139	69	0	0.0	0.0,0.086,0.108	0.05,0.054,0.006	0.028
10804	"PPP2R5A"	"PPP2R5A"	chr1	+	212329134	212329331	212329134	212329270	212333496	212333598	10804	108,216,287	18,5,9	486,461,122	3,6,4	130	69	1.45455269496e-05	0.004067168439660756	0.761,0.958,0.944	0.989,0.976,0.942	-0.081
10910	"CD27-AS1"	"CD27-AS1"	chr12	-	6447937	6448041	6448036	6448041	6446960	6447087	10910	4,4,7	56,171,158	85,6,5	270,194,142	168	69	2.63676164891e-06	0.0013455394694387728	0.029,0.01,0.018	0.114,0.013,0.014	-0.028
11053	"GNAS"	"GNAS"	chr20	+	58889179	58889332	58889179	58889213	58895611	58895684	11053	4,11,12	2,3,1	7,6,15	0,1,0	188	69	0.00022781363647	0.019997466639177938	0.423,0.574,0.815	1.0,0.688,1.0	-0.292
