ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
103	"NXF1"	"NXF1"	chr11	-	62798538	62800486	62798538	62798575	62800376	62800486	103	12,32,109	0,3,4	34,2,16	0,0,1	1870	69	0.000323238800125	0.01390667082064504	1.0,0.282,0.501	1.0,1.0,0.371	-0.196
108	"PSMG3"	"PSMG3"	chr7	-	1569123	1570032	1569123	1569360	1570008	1570032	108	2,25,15	2,4,3	8,33,22	0,0,1	717	69	5.80665939998e-07	0.00016363166189143637	0.088,0.376,0.325	1.0,1.0,0.679	-0.63
1158	"RETREG2"	"RETREG2"	chr2	+	219182012	219185475	219182012	219182308	219182413	219185475	1158	29,339,398	2,7,7	309,241,560	20,10,33	174	69	0.000214290736357	0.010926607102352107	0.852,0.951,0.958	0.86,0.905,0.871	0.042
116	"RPL28"	"RPL28"	chr19	+	55387929	55392083	55387929	55388048	55391553	55392083	116	8,432,429	0,0,1	64,833,261	8,5,0	3574	69	7.75260980193e-05	0.005601757544061215	1.0,1.0,0.892	0.134,0.763,1.0	0.332
1174	"SLC25A39"	"SLC25A39"	chr17	-	44321057	44321558	44321057	44321231	44321433	44321558	1174	9,1,5	12,20,28	0,1,1	49,15,61	271	69	9.45958344936e-05	0.006474014393813032	0.16,0.013,0.043	0.0,0.017,0.004	0.065
1254	"SRRM1"	"SRRM1"	chr1	+	24646666	24649029	24646666	24646789	24648858	24649029	1254	10,29,59	1,14,15	12,34,15	23,25,14	2138	69	0.000178512205197	0.009813978535793553	0.244,0.063,0.113	0.017,0.042,0.033	0.109
1255	"SRRM1"	"SRRM1"	chr1	+	24647078	24649029	24647078	24647208	24648858	24649029	1255	10,9,40	2,15,12	10,14,5	86,11,7	1719	69	1.15724917427e-08	8.15282043273215e-06	0.167,0.024,0.118	0.005,0.049,0.028	0.076
1343	"CIZ1"	"CIZ1"	chr9	-	128178708	128179415	128178708	128178904	128179072	128179415	1343	13,20,37	0,0,2	69,22,32	1,5,3	237	69	0.00186711539676	0.04334669394480177	1.0,1.0,0.843	0.953,0.562,0.756	0.191
1391	"FAM177A1"	"FAM177A1"	chr14	+	35046243	35046628	35046243	35046406	35046504	35046628	1391	12,44,53	0,0,3	30,66,94	26,31,0	167	69	0.000234042980997	0.011479094849454226	1.0,1.0,0.88	0.323,0.468,1.0	0.363
1454	"NEK1"	"NEK1"	chr4	-	169612019	169612583	169612019	169612143	169612221	169612583	1454	4,2,4	0,1,3	0,3,0	3,3,4	147	69	0.000537467214497	0.019294045993026067	1.0,0.484,0.385	0.0,0.319,0.0	0.517
1526	"QKI"	"QKI"	chr6	+	163563419	163578591	163563419	163563719	163564666	163578591	1526	1,21,37	2,9,18	18,10,12	29,22,14	1016	69	0.000263567608714	0.012175959366492656	0.033,0.137,0.122	0.04,0.03,0.055	0.056
1560	"DCTN1"	"DCTN1"	chr2	-	74366243	74366620	74366243	74366375	74366458	74366620	1560	6,1,4	4,32,40	0,0,1	42,18,44	152	69	0.00172383899462	0.041342793930546046	0.405,0.014,0.043	0.0,0.0,0.01	0.151
1618	"CMTM4"	"CMTM4"	chr16	-	66614749	66622222	66614749	66617358	66622061	66622222	1618	32,165,380	0,1,0	396,163,487	4,2,0	4772	69	0.00107608198293	0.029584380759968193	1.0,0.705,1.0	0.589,0.541,1.0	0.192
1622	"UXT"	"UXT"	chrX	-	47658829	47659180	47658829	47658936	47659114	47659180	1622	9,60,59	0,8,8	49,54,28	17,27,11	247	69	0.00167468851675	0.04050877459400429	1.0,0.677,0.673	0.446,0.358,0.416	0.377
1624	"DNAJB2"	"DNAJB2"	chr2	+	219284631	219286895	219284631	219284835	219285986	219286895	1624	76,708,785	44,269,269	369,487,679	514,234,380	1220	69	2.98651625652e-09	2.80533427029112e-06	0.089,0.13,0.142	0.039,0.105,0.092	0.042
1738	"SUZ12P1"	"SUZ12P1"	chr17	+	30768833	30769064	30768833	30768867	30769000	30769064	1738	197,321,439	4,3,14	647,1096,127	85,45,6	202	69	6.96401914513e-06	0.0008722047089322817	0.944,0.973,0.915	0.722,0.893,0.878	0.113
1863	"MSL1"	"MSL1"	chr17	+	40121970	40123380	40121970	40122760	40123284	40123380	1863	24,476,317	0,0,0	281,259,234	26,0,2	593	69	4.49738268038e-06	0.000633681219665542	1.0,1.0,1.0	0.557,1.0,0.932	0.17
1864	"SNX21"	"SNX21"	chr20	+	45840638	45843276	45840638	45840780	45842032	45843276	1864	12,325,297	0,0,0	180,344,314	10,1,0	1321	69	0.000163099870845	0.009285160324064849	1.0,1.0,1.0	0.485,0.947,1.0	0.189
1867	"PSMG3-AS1"	"PSMG3-AS1"	chr7	+	1584383	1589625	1584383	1585617	1587820	1589625	1867	15,152,329	6,0,2	208,131,219	0,0,0	2272	69	4.52615893866e-05	0.003494442709354488	0.071,1.0,0.833	1.0,1.0,1.0	-0.365
1902	"H2AJ"	"H2AJ"	chr12	+	14774335	14778002	14774335	14774976	14775290	14778002	1902	46,333,263	0,10,21	320,349,276	43,42,33	383	69	0.000615687868834	0.02065486207588348	1.0,0.857,0.693	0.573,0.6,0.601	0.259
1915	"MYCL"	"MYCL"	chr1	-	39900938	39901917	39900938	39901443	39901807	39901917	1915	0,15,0	6,0,1	12,7,8	0,1,0	433	69	1.0571315221e-06	0.00020892733787753335	0.0,1.0,0.0	1.0,0.527,1.0	-0.509
2021	"AUP1"	"AUP1"	chr2	-	74528750	74529282	74528750	74528935	74529131	74529282	2021	0,9,28	1,10,14	5,1,6	48,27,8	265	69	2.5077615281e-05	0.0022083974956830623	0.0,0.19,0.342	0.026,0.01,0.163	0.111
2052	"UBA7"	"UBA7"	chr3	-	49808975	49809455	49808975	49809159	49809389	49809455	2052	6,51,67	24,105,100	56,38,41	318,109,144	299	69	9.04839424842e-06	0.0010407499996754107	0.055,0.101,0.134	0.039,0.074,0.062	0.038
2074	"SDHAF2"	"SDHAF2"	chr11	+	61438003	61438342	61438003	61438113	61438219	61438342	2074	1,9,11	1,0,0	3,6,6	4,2,1	175	69	0.000107330128542	0.006953018442100138	0.283,1.0,1.0	0.228,0.542,0.703	0.27
2075	"SDHAF2"	"SDHAF2"	chr11	+	61438003	61438342	61438003	61438113	61438244	61438342	2075	1,9,11	0,1,0	3,6,6	19,9,0	200	69	5.50471712402e-06	0.0007215019932785284	1.0,0.756,1.0	0.052,0.187,1.0	0.506
2080	"UBE2Q1"	"UBE2Q1"	chr1	-	154551920	154552301	154551920	154551979	154552092	154552301	2080	7,104,82	90,213,313	25,54,46	595,275,160	182	69	7.16548897117e-06	0.0008779281704676983	0.029,0.156,0.09	0.016,0.069,0.098	0.031
2131	"CBY1"	"CBY1"	chr22	+	38670766	38671188	38670766	38670989	38671069	38671188	2131	0,2,0	2,6,12	5,5,2	18,13,9	149	69	0.00239381609596	0.04870594771418975	0.0,0.134,0.0	0.114,0.151,0.093	-0.075
2204	"TRPC1"	"TRPC1"	chr3	+	142743111	142743586	142743111	142743320	142743484	142743586	2204	0,0,2	3,6,7	0,26,2	18,16,5	233	69	0.000611179591291	0.02062639626656333	0.0,0.0,0.078	0.0,0.325,0.106	-0.118
223	"ZNF266"	"ZNF266"	chr19	-	9418504	9419289	9418504	9418631	9419216	9419289	223	2,24,24	0,0,0	0,6,5	14,0,0	654	69	0.000124506614744	0.0077351694970777575	1.0,1.0,1.0	0.0,1.0,1.0	0.333
224	"ZNF266"	"ZNF266"	chr19	-	9418765	9419299	9418765	9418895	9419216	9419299	224	2,11,12	0,1,0	0,1,3	1,2,0	390	69	2.44287615839e-05	0.0022083974956830623	1.0,0.661,1.0	0.0,0.081,1.0	0.527
2263	"CTNNBIP1"	"CTNNBIP1"	chr1	-	9871968	9872392	9871968	9872088	9872252	9872392	2263	4,11,6	0,0,0	21,2,10	4,2,1	233	69	3.36679979718e-06	0.0004993495699185915	1.0,1.0,1.0	0.609,0.228,0.748	0.472
233	"SEC14L1"	"SEC14L1"	chr17	+	77213917	77217099	77213917	77214019	77216548	77217099	233	1704,15101,13468	0,9,4	11567,8284,13746	33,6,22	2598	69	7.32034426409e-08	3.4381216893676035e-05	1.0,0.978,0.989	0.903,0.973,0.943	0.049
235	"PRKD2"	"PRKD2"	chr19	-	46716130	46717127	46716130	46716535	46716950	46717127	235	4,31,51	4,8,2	32,47,24	0,1,0	484	69	3.50333884125e-07	0.0001316321180619	0.125,0.356,0.784	1.0,0.87,1.0	-0.535
2365	"FCHSD2"	"FCHSD2"	chr11	-	72843133	72843532	72843133	72843328	72843448	72843532	2365	0,3,9	2,4,16	0,1,0	18,9,2	189	69	4.36570083374e-05	0.0034173735970775884	0.0,0.215,0.17	0.0,0.039,0.0	0.115
2409	"MTHFD2"	"MTHFD2"	chr2	+	74205704	74206088	74205704	74205889	74205981	74206088	2409	22,37,41	0,0,1	37,28,39	8,2,1	161	69	3.56576528415e-05	0.0030449474456771815	1.0,1.0,0.946	0.665,0.857,0.944	0.16
2410	"MTHFD2"	"MTHFD2"	chr2	+	74211740	74212109	74211740	74211866	74211969	74212109	2410	3,12,19	0,6,6	12,42,8	0,0,2	172	69	0.000234225675601	0.011479094849454226	1.0,0.445,0.56	1.0,1.0,0.616	-0.204
2431	"ATP6V1E1"	"ATP6V1E1"	chr22	-	17598193	17598456	17598193	17598288	17598375	17598456	2431	5,44,39	0,2,0	54,98,28	20,9,0	156	69	0.000110652666014	0.007086800291533	1.0,0.907,1.0	0.544,0.828,1.0	0.178
2463	"CS"	"CS"	chr12	-	56274776	56275048	56274776	56274878	56275001	56275048	2463	4,6,9	2,29,20	0,4,2	56,12,29	192	69	0.000200999492143	0.010766115687427734	0.418,0.069,0.139	0.0,0.107,0.024	0.165
2527	"MAP4"	"MAP4"	chr3	-	47870857	47871286	47870857	47871105	47871226	47871286	2527	0,6,4	3,6,18	1,0,0	2,37,6	190	69	0.000486311838076	0.018165459687321615	0.0,0.266,0.075	0.154,0.0,0.0	0.062
2529	"TRIOBP"	"TRIOBP"	chr22	+	37754915	37755190	37754915	37754984	37755100	37755190	2529	3,6,8	9,19,31	0,2,4	49,12,18	185	69	0.00215917859892	0.04540720366982507	0.111,0.105,0.088	0.0,0.059,0.077	0.056
2649	"GLYATL2"	"GLYATL2"	chr11	-	58837014	58837394	58837014	58837177	58837270	58837394	2649	4,3,9	20,57,92	12,11,6	68,15,26	162	69	0.00206043918354	0.044663981686274765	0.078,0.022,0.04	0.07,0.238,0.089	-0.086
2663	"LRCH4"	"LRCH4"	chr7	-	100577821	100578316	100577821	100577912	100578158	100578316	2663	0,10,16	3,15,28	2,4,5	53,23,26	315	69	4.27239044918e-05	0.0033914355734617576	0.0,0.127,0.111	0.008,0.037,0.04	0.051
2676	"NRDC"	"NRDC"	chr1	-	51789193	51789661	51789193	51789433	51789563	51789661	2676	8,2,11	0,0,0	56,13,3	9,5,0	199	69	9.8019640471e-07	0.00020892733787753335	1.0,1.0,1.0	0.683,0.474,1.0	0.281
2688	"PIK3CD"	"PIK3CD"	chr1	+	9720433	9720909	9720433	9720661	9720744	9720909	2688	0,3,3	4,2,1	1,2,1	0,0,0	152	69	1.47210876822e-09	1.6593610035375841e-06	0.0,0.405,0.577	1.0,1.0,1.0	-0.673
2692	"DNAJC3"	"DNAJC3"	chr13	+	95759749	95760221	95759749	95759776	95760039	95760221	2692	6,8,16	2,1,2	15,64,4	0,0,0	332	69	0.000214808525306	0.010926607102352107	0.384,0.624,0.624	1.0,1.0,1.0	-0.456
2745	"YPEL3"	"YPEL3"	chr16	-	30095251	30096213	30095251	30095434	30095995	30096213	2745	3,2,1	0,1,0	6,3,8	2,2,0	630	69	0.00241437777611	0.04877216181417907	1.0,0.18,1.0	0.247,0.141,1.0	0.264
2750	"SFPQ"	"SFPQ"	chr1	-	35186946	35187251	35186946	35187122	35187202	35187251	2750	0,15,20	2,41,25	0,4,1	16,45,31	149	69	6.73178288113e-07	0.0001724560378093122	0.0,0.145,0.27	0.0,0.04,0.015	0.12
2772	"TAF6"	"TAF6"	chr7	-	100113509	100113954	100113509	100113769	100113867	100113954	2772	0,2,0	12,15,13	3,5,5	20,9,19	167	69	0.000415160014868	0.016206742994124085	0.0,0.052,0.0	0.058,0.187,0.098	-0.097
2773	"TAF11"	"TAF11"	chr6	-	34879966	34880348	34879966	34880063	34880288	34880348	2773	0,1,5	4,21,20	9,14,7	31,24,8	294	69	0.000535344872623	0.019294045993026067	0.0,0.011,0.055	0.064,0.12,0.17	-0.096
2779	"SIN3B"	"SIN3B"	chr19	+	16863273	16863796	16863273	16863362	16863679	16863796	2779	1,5,8	0,0,4	0,3,0	4,1,1	386	69	0.00210875029695	0.045046410330526365	1.0,1.0,0.263	0.0,0.349,0.0	0.638
2784	"BIN2"	"BIN2"	chr12	-	51287883	51288188	51287883	51288029	51288107	51288188	2784	20,70,84	0,0,0	72,91,69	6,5,1	147	69	3.6500273417e-05	0.0030703812086300296	1.0,1.0,1.0	0.849,0.895,0.97	0.095
2786	"BIN2"	"BIN2"	chr12	-	51302019	51302780	51302019	51302115	51302517	51302780	2786	45,264,264	38,263,169	375,298,258	586,476,257	471	69	5.6332749423e-06	0.0007215713085182454	0.148,0.128,0.186	0.086,0.084,0.128	0.055
2805	"CPNE5"	"CPNE5"	chr6	-	36740775	36742486	36740775	36741750	36742223	36742486	2805	188,722,1413	0,1,7	1557,640,1598	24,9,5	542	69	0.000504738161382	0.01857121600176657	1.0,0.989,0.963	0.892,0.901,0.976	0.061
