10045	"CTSA"	"CTSA"	chr20	+	45891334	45891449	45891334	45891379	45891568	45891762	10045	0,0,103	8,3,5622	0,49,43	25,258,176	139	69	0	0.0	0.0,0.0,0.009	0.0,0.086,0.108	-0.062
15006	"CDKL1"	"CDKL1"	chr14	-	50331996	50332432	50332261	50332432	50326265	50330181	15006	0,0,0	12,6,172	2,18,22	13,94,104	334	69	9.28842825987e-08	0.0005463453502455534	0.0,0.0,0.0	0.031,0.038,0.042	-0.037
1635	"PKN2"	"PKN2"	chr1	+	88784638	88784824	88784638	88784776	88786103	88786213	1635	29,4,173	0,0,5	64,64,124	19,15,5	117	69	2.80719459667e-06	0.00825595930880647	1.0,1.0,0.953	0.665,0.716,0.936	0.212
16527	"PABPC4"	"PABPC4"	chr1	-	39564685	39564773	39564700	39564773	39564470	39564542	16527	6,5,6	3,0,5	14,17,19	0,0,0	84	69	8.54174129139e-06	0.01674750742531866	0.622,1.0,0.496	1.0,1.0,1.0	-0.294
20187	"SELENOW"	"SELENOW"	chr19	+	47778702	47778814	47778702	47778734	47780724	47780749	20187	44,2,368	0,0,42	77,203,178	0,0,0	149	69	1.04329800354e-09	9.20501828523342e-06	1.0,1.0,0.802	1.0,1.0,1.0	-0.066
20477	"MPP1"	"MPP1"	chrX	-	154783898	154784107	154784027	154784107	154783426	154783507	20477	21,0,222	849,16,6813	74,233,207	1108,4134,3898	198	69	9.52690626499e-07	0.003362235759040271	0.009,0.0,0.011	0.023,0.019,0.018	-0.013
22433	"RPN2"	"RPN2"	chr20	+	37203884	37204054	37203884	37203960	37204766	37204901	22433	0,0,7	31,15,381	28,6,18	119,170,416	163	69	1.29871886057e-05	0.02291719301361822	0.0,0.0,0.008	0.091,0.015,0.018	-0.039
2516	"NFE2L2"	"NFE2L2"	chr2	-	177234004	177234271	177234075	177234271	177233249	177233339	2516	133,13,853	0,0,5	234,441,471	9,14,14	140	69	3.53017497234e-07	0.001557336689047791	1.0,1.0,0.988	0.928,0.939,0.943	0.059
6996	"MAN1A2"	"MAN1A2"	chr1	+	117414712	117414837	117414712	117414831	117420568	117420649	6996	5,0,0	357,1,2409	72,0,0	434,1129,842	75	69	4.70910740424e-06	0.011370719536545174	0.013,0.0,0.0	0.132,0.0,0.0	-0.04
8376	"RPL13A"	"RPL13A"	chr19	+	49489849	49490090	49489849	49489922	49490231	49490297	8376	8,7,127	490,76,1613	7,235,214	466,1853,1371	237	69	5.15503549203e-06	0.011370719536545174	0.005,0.026,0.022	0.004,0.036,0.043	-0.01
8505	"ENO1"	"ENO1"	chr1	-	8878214	8878686	8878579	8878686	8874823	8874917	8505	0,0,194	27,3,1292	0,50,72	131,490,1140	434	69	2.82026826322e-05	0.04524223070252738	0.0,0.0,0.023	0.0,0.016,0.01	-0.001
