ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
10006	"DNAH14"	"DNAH14"	chr1	+	225205970	225206179	225185290	225185425	225231072	225231151	10006	13,12,26	0,0,0	36,39,12	7,3,0	278	69	3.12939583846e-06	0.0009840613235342283	1.0,1.0,1.0	0.561,0.763,1.0	0.225
10106	"GUCY1B1"	"GUCY1B1"	chr4	+	155789713	155789911	155777523	155777642	155793855	155794086	10106	1003,3098,3815	3,2,5	6504,6039,3023	51,19,7	267	69	0.00049159748557	0.027032245917850518	0.989,0.998,0.995	0.971,0.988,0.991	0.011
10120	"NEXN"	"NEXN"	chr1	+	77926715	77926892	77918124	77918273	77929315	77929504	10120	161,829,1222	0,1,4	918,3232,806	20,23,1	246	69	0.000178361388893	0.01354529203004522	1.0,0.996,0.988	0.928,0.975,0.996	0.028
10233	"MCTP1"	"MCTP1"	chr5	-	94931952	94931991	94923961	94924021	94940083	94940195	10233	100,365,486	0,1,9	880,449,487	32,17,20	108	69	2.95917803506e-06	0.000949622994358716	1.0,0.996,0.972	0.946,0.944,0.94	0.046
1036	"FAM81B"	"FAM81B"	chr5	+	95420283	95420402	95413946	95414190	95446561	95446697	1036	59,88,132	4,3,1	270,235,55	28,16,4	188	69	0.000633042421774	0.031818390062129796	0.844,0.915,0.98	0.78,0.844,0.835	0.093
10443	"RBM5"	"RBM5"	chr3	+	50104247	50104308	50103082	50103166	50105076	50105142	10443	41,23,40	0,0,1	53,48,18	25,3,5	130	69	2.33575614406e-08	2.7578228722045775e-05	1.0,1.0,0.955	0.529,0.895,0.656	0.292
10453	"SLC38A6"	"SLC38A6"	chr14	+	61043146	61043212	61037624	61037683	61045345	61045425	10453	3,15,7	0,0,0	26,31,5	10,0,0	135	69	0.00047411117012	0.026395422324376548	1.0,1.0,1.0	0.571,1.0,1.0	0.143
10504	"FOXJ3"	"FOXJ3"	chr1	-	42205761	42205863	42199101	42199230	42227882	42227966	10504	23,16,24	1,4,2	17,47,6	0,1,0	171	69	0.000295678304215	0.019497008685839888	0.903,0.617,0.829	1.0,0.95,1.0	-0.2
10560	"NKTR"	"NKTR"	chr3	+	42620015	42620043	42619663	42619708	42630545	42630575	10560	1,4,3	0,10,1	0,0,0	8,10,7	97	69	4.77384090589e-05	0.005722847554940202	1.0,0.222,0.681	0.0,0.0,0.0	0.634
1058	"RBBP6"	"RBBP6"	chr16	+	24567791	24567893	24567142	24567505	24568744	24570499	1058	10,11,17	0,1,0	42,9,3	7,1,0	171	69	8.90930339612e-05	0.008821479092072804	1.0,0.816,1.0	0.708,0.784,1.0	0.108
1076	"POT1-AS1"	"POT1-AS1"	chr7	+	125080711	125080813	125020332	125020413	125116873	125117028	1076	7,9,4	0,0,1	17,14,13	4,3,0	171	69	0.000132606907654	0.01122888018980292	1.0,1.0,0.617	0.632,0.653,1.0	0.111
1078	"POT1-AS1"	"POT1-AS1"	chr7	+	125080711	125080813	125020332	125020413	125138572	125138659	1078	7,11,5	0,0,0	26,15,13	11,3,1	171	69	9.13019950755e-08	8.162007065485092e-05	1.0,1.0,1.0	0.488,0.669,0.84	0.334
1085	"POT1-AS1"	"POT1-AS1"	chr7	+	125125824	125125977	125020332	125020413	125138572	125138659	1085	25,27,19	0,0,0	85,32,35	11,3,1	222	69	9.48471865159e-07	0.000457072535962296	1.0,1.0,1.0	0.706,0.768,0.916	0.203
10874	"GLYCTK"	"GLYCTK"	chr3	+	52290303	52290719	52287819	52287876	52290959	52291111	10874	12,9,17	0,5,1	6,9,11	0,0,1	485	69	0.000900168034602	0.04035087041639639	1.0,0.204,0.707	1.0,1.0,0.61	-0.233
