ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
1	"MLC1"	"MLC1"	chr22	-	50085138	50085426	50085354	50085426	50084725	50084961	1	0,0,18	2,0,47	12,2,54	19,30,171	285	69	1	1.0	0.0,NA,0.085	0.133,0.016,0.071	-0.031
6	"TTC31"	"TTC31"	chr2	+	74491480	74491672	74491480	74491666	74492003	74492051	6	0,0,3	12,0,1	0,3,0	0,1,3	75	69	1	1.0	0.0,NA,0.734	NA,0.734,0.0	0.0
7	"TTC31"	"TTC31"	chr2	+	74491943	74492055	74491943	74492051	74492138	74492229	7	17,0,2	0,0,0	6,3,3	0,1,0	73	69	1	1.0	1.0,NA,1.0	1.0,0.739,1.0	0.087
8	"TTC31"	"TTC31"	chr2	+	74492138	74492233	74492138	74492229	74492303	74492445	8	0,0,0	6,0,1	3,0,0	3,1,4	73	69	1	1.0	0.0,NA,0.0	0.486,0.0,0.0	-0.162
33	"ABI2"	"ABI2"	chr2	+	203366876	203367130	203366876	203367044	203380207	203380384	33	0,0,51	35,0,145	7,13,16	33,54,85	155	69	1	1.0	0.0,NA,0.135	0.086,0.097,0.077	-0.019
56	"RPL41"	"RPL41"	chr12	+	56116632	56116799	56116632	56116659	56117481	56117967	56	2,0,1009	0,0,4	25,544,264	2,0,1	209	69	1	1.0	1.0,NA,0.988	0.805,1.0,0.989	0.063
71	"LINC00892"	"LINC00892"	chrX	+	136640773	136640873	136640773	136640840	136642102	136642429	71	150,0,240	0,0,5	118,153,276	0,3,9	102	69	1	1.0	1.0,NA,0.97	1.0,0.972,0.954	0.01
74	"U2AF2"	"U2AF2"	chr19	+	55669082	55669181	55669082	55669169	55669443	55669692	74	48,0,47	44,0,260	4,41,37	18,148,124	81	69	1	1.0	0.482,NA,0.133	0.159,0.191,0.203	0.123
82	"IRF2BP2"	"IRF2BP2"	chr1	-	234608446	234609525	234608494	234609525	234604268	234607852	82	22,10,24	21,0,11	9,35,25	0,16,10	117	69	0.747430486153	1.0	0.382,1.0,0.563	1.0,0.563,0.596	-0.071
85	"LINC00476"	"LINC00476"	chr9	-	95874979	95875977	95875864	95875977	95850226	95850292	85	18,2,69	0,0,0	0,87,73	0,6,0	954	69	1	1.0	1.0,1.0,1.0	NA,0.512,1.0	0.244
90	"ZNF837"	"ZNF837"	chr19	-	58369716	58369928	58369818	58369928	58367622	58369361	90	0,0,0	2,0,0	0,0,1	0,1,0	171	69	1	1.0	0.0,NA,NA	NA,0.0,1.0	-0.5
99	"CNOT6"	"CNOT6"	chr5	+	180564488	180564593	180564488	180564578	180564674	180564743	99	18,0,71	3,1,8	31,56,45	13,5,7	84	69	0.842641307341	1.0	0.831,0.0,0.879	0.662,0.902,0.841	-0.232
102	"ZNF767P"	"ZNF767P"	chr7	-	149551573	149551826	149551654	149551826	149550867	149550946	102	7,0,70	8,0,7	14,63,83	0,5,9	150	69	1	1.0	0.287,NA,0.821	1.0,0.853,0.809	-0.333
104	"SPPL2B"	"SPPL2B"	chr19	+	2351433	2351657	2351433	2351594	2352945	2355095	104	0,0,0	0,0,12	0,0,1	0,2,6	132	69	1	1.0	NA,NA,0.0	NA,0.0,0.08	-0.04
110	"APTR"	"APTR"	chr7	-	77695895	77696265	77696171	77696265	77685201	77685328	110	0,0,23	0,0,1	0,9,12	0,1,1	345	69	1	1.0	NA,NA,0.821	NA,0.643,0.706	0.146
111	"LINC00957"	"LINC00957"	chr7	+	44039048	44039283	44039048	44039149	44039893	44040362	111	0,0,3	0,0,3	0,7,2	0,0,0	203	69	1	1.0	NA,NA,0.254	NA,1.0,1.0	-0.746
113	"SLC66A1"	"SLC66A1"	chr1	+	19312325	19312889	19312325	19312358	19317599	19317841	113	2,0,49	0,0,1	5,21,17	0,0,0	600	69	1	1.0	1.0,NA,0.849	1.0,1.0,1.0	-0.076
114	"LZIC"	"LZIC"	chr1	-	9942623	9942782	9942680	9942782	9936518	9936627	114	46,0,366	0,0,2	87,235,283	0,0,0	126	69	1	1.0	1.0,NA,0.99	1.0,1.0,1.0	-0.005
115	"LZIC"	"LZIC"	chr1	-	9943248	9943391	9943348	9943391	9942623	9942782	115	3,0,175	1,0,37	21,89,68	10,16,15	169	69	1	1.0	0.551,NA,0.659	0.462,0.694,0.649	0.003
116	"RHBDF2"	"RHBDF2"	chr17	-	76474659	76474804	76474729	76474804	76474372	76474534	116	0,0,0	12,0,5	0,0,2	0,4,11	139	69	1	1.0	0.0,NA,0.0	NA,0.0,0.083	-0.042
117	"RHBDF2"	"RHBDF2"	chr17	-	76487499	76487909	76487711	76487909	76481374	76481545	117	0,0,0	0,0,4	0,2,5	5,2,8	281	69	1	1.0	NA,NA,0.0	0.0,0.197,0.133	-0.11
118	"RHBDF2"	"RHBDF2"	chr17	-	76500935	76501423	76501352	76501423	76487711	76487909	118	2,0,4	0,0,4	0,5,32	0,1,0	486	69	1	1.0	1.0,NA,0.124	NA,0.415,1.0	-0.145
119	"BECN1"	"BECN1"	chr17	-	42824132	42824316	42824154	42824316	42823747	42823879	119	31,0,330	56,0,305	37,136,150	17,160,207	91	69	1	1.0	0.296,NA,0.451	0.623,0.392,0.355	-0.083
125	"PDSS1"	"PDSS1"	chr10	+	26724013	26724127	26724013	26724123	26735239	26735320	125	3,0,0	0,0,1	0,1,1	0,0,0	73	69	1	1.0	1.0,NA,0.0	NA,1.0,1.0	-0.5
126	"NPEPL1"	"NPEPL1"	chr20	+	58691723	58691830	58691723	58691780	58693736	58693922	126	0,0,1	0,0,0	0,0,0	0,0,1	119	69	1	1.0	NA,NA,1.0	NA,NA,0.0	1.0
128	"UPF1"	"UPF1"	chr19	+	18852986	18853104	18852986	18853071	18853251	18853350	128	0,0,45	39,0,117	12,29,29	14,60,75	102	69	1	1.0	0.0,NA,0.206	0.367,0.246,0.207	-0.17
130	"MIOS"	"MIOS"	chr7	+	7566883	7567484	7566883	7567072	7572435	7573769	130	0,0,3	0,0,0	1,4,8	0,0,3	481	69	1	1.0	NA,NA,1.0	1.0,1.0,0.277	0.241
144	"ANKRD10"	"ANKRD10"	chr13	-	110883697	110883793	110883729	110883793	110878539	110880112	144	124,0,591	0,0,0	76,464,378	4,1,0	101	69	1	1.0	1.0,NA,1.0	0.928,0.997,1.0	0.025
161	"MRPS5"	"MRPS5"	chr2	-	95108174	95108408	95108253	95108408	95106422	95106457	161	0,0,4	0,0,0	1,14,8	0,0,1	148	69	1	1.0	NA,NA,1.0	1.0,1.0,0.789	0.07
168	"NAA10"	"NAA10"	chrX	-	153933942	153934001	153933960	153934001	153932538	153932584	168	15,0,66	0,0,0	22,47,60	0,1,0	87	69	1	1.0	1.0,NA,1.0	1.0,0.974,1.0	0.009
179	"TRIM52-AS1"	"TRIM52-AS1"	chr5	+	181263627	181263789	181263627	181263766	181264051	181264566	179	0,0,47	6,0,36	8,20,24	0,19,49	92	69	1	1.0	0.0,NA,0.495	1.0,0.441,0.269	-0.322
180	"TRIM52-AS1"	"TRIM52-AS1"	chr5	+	181263627	181263789	181263627	181263766	181271572	181271689	180	0,0,47	0,0,3	6,20,23	0,1,0	92	69	1	1.0	NA,NA,0.922	1.0,0.938,1.0	-0.057
181	"PHYKPL"	"PHYKPL"	chr5	-	178231668	178232822	178232491	178232822	178229939	178230099	181	2,0,28	0,0,1	2,17,38	0,1,1	892	69	1	1.0	1.0,NA,0.684	1.0,0.568,0.746	0.071
182	"PHYKPL"	"PHYKPL"	chr5	-	178231668	178232822	178232491	178232822	178231404	178231523	182	4,0,33	10,0,26	4,18,46	0,16,19	892	69	1	1.0	0.03,NA,0.089	1.0,0.08,0.158	-0.353
184	"DAPK3"	"DAPK3"	chr19	-	3970920	3971099	3971021	3971099	3969673	3969829	184	0,0,18	0,0,19	0,12,5	0,12,20	170	69	1	1.0	NA,NA,0.278	NA,0.289,0.092	0.088
185	"KRAS"	"KRAS"	chr12	-	25250750	25250929	25250763	25250929	25245273	25245395	185	11,0,118	0,0,5	13,69,27	0,1,1	82	69	1	1.0	1.0,NA,0.952	1.0,0.983,0.958	-0.004
