ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	"MLC1"	"MLC1"	chr22	-	50059390	50060200	50059390	50060152	50061452	50061657	0	0,0,22	6,0,1	70,5,29	3,3,1	117	69	1	1.0	0.0,NA,0.928	0.932,0.496,0.945	-0.327
7	"TTC31"	"TTC31"	chr2	+	74491943	74492051	74492003	74492051	74491480	74491666	7	3,0,0	12,0,1	0,0,1	0,0,2	129	69	1	1.0	0.118,NA,0.0	NA,NA,0.211	-0.152
8	"TTC31"	"TTC31"	chr2	+	74491943	74492055	74492003	74492055	74491480	74491672	8	3,0,1	0,0,1	12,0,1	15,2,0	129	69	1	1.0	1.0,NA,0.348	0.3,0.0,1.0	0.241
29	"CDC42SE2"	"CDC42SE2"	chr5	+	131390992	131394672	131391828	131394672	131385542	131385644	29	1230,8,3777	0,0,0	4323,3155,1178	1,0,0	138	69	1	1.0	1.0,1.0,1.0	1.0,1.0,1.0	0.0
30	"CDC42SE2"	"CDC42SE2"	chr5	+	131391828	131394672	131391917	131394672	131390992	131391108	30	280,0,4781	167,8,415	1456,2831,1135	314,313,242	138	69	0.0429619089414	1.0	0.456,0.0,0.852	0.699,0.819,0.701	-0.304
31	"ABI2"	"ABI2"	chr2	+	203366876	203367044	203366880	203367044	203328393	203328631	31	54,0,294	0,0,31	259,118,121	30,8,18	73	69	1	1.0	1.0,NA,0.9	0.891,0.933,0.864	0.054
32	"ABI2"	"ABI2"	chr2	+	203380207	203380384	203380211	203380384	203366876	203367044	32	41,8,182	6,0,2	342,148,83	0,3,0	73	69	0.103986573012	1.0	0.866,1.0,0.989	1.0,0.979,1.0	-0.041
33	"ABI2"	"ABI2"	chr2	+	203375931	203376132	203376056	203376132	203366880	203367044	33	0,0,18	0,0,61	11,25,5	138,35,21	138	69	1	1.0	NA,NA,0.129	0.038,0.263,0.106	-0.007
34	"ABI2"	"ABI2"	chr2	+	203380207	203380384	203380211	203380384	203376056	203376132	34	6,8,86	0,0,0	104,58,64	6,0,0	73	69	0.750859832925	1.0	1.0,1.0,1.0	0.942,1.0,1.0	0.019
35	"ABI2"	"ABI2"	chr2	+	203383242	203383321	203383246	203383321	203380207	203380384	35	0,0,11	0,0,5	11,21,2	14,4,1	73	69	1	1.0	NA,NA,0.675	0.426,0.832,0.654	0.038
