ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	"MLC1"	"MLC1"	chr22	-	50059390	50061657	50059390	50060152	50061452	50061657	0	52,48,321	6,4,16	290,19,111	3,3,1	138	69	0.00174327026631	0.045906117012830004	0.812,0.857,0.909	0.98,0.76,0.982	-0.048
1158	"RETREG2"	"RETREG2"	chr2	+	219182012	219185475	219182012	219182308	219182413	219185475	1158	29,298,363	2,7,7	309,217,490	20,10,33	138	69	0.000186025762586	0.010983352656261833	0.879,0.955,0.963	0.885,0.916,0.881	0.038
116	"RPL28"	"RPL28"	chr19	+	55387929	55392083	55387929	55388048	55391553	55392083	116	1,8,15	0,0,1	12,18,3	8,5,0	138	69	3.56735078149e-05	0.003775334062901398	1.0,1.0,0.882	0.429,0.643,1.0	0.27
1174	"SLC25A39"	"SLC25A39"	chr17	-	44321057	44321558	44321057	44321231	44321433	44321558	1174	9,1,5	12,20,28	0,1,1	49,15,61	138	69	6.39332468333e-06	0.0010724254755257224	0.273,0.024,0.082	0.0,0.032,0.008	0.113
1343	"CIZ1"	"CIZ1"	chr9	-	128178708	128179415	128178708	128178904	128179072	128179415	1343	13,6,21	0,0,2	51,6,15	1,5,3	138	69	0.00184160858763	0.046409680146349996	1.0,1.0,0.84	0.962,0.375,0.714	0.263
1391	"FAM177A1"	"FAM177A1"	chr14	+	35046243	35046628	35046243	35046406	35046504	35046628	1391	12,44,52	0,0,3	30,66,92	26,31,0	138	69	0.000129721121565	0.00866197346259625	1.0,1.0,0.897	0.366,0.516,1.0	0.338
1454	"NEK1"	"NEK1"	chr4	-	169612019	169612583	169612019	169612143	169612221	169612583	1454	4,2,3	0,1,3	0,3,0	3,3,4	138	69	0.00100904545605	0.03329974413319153	1.0,0.5,0.333	0.0,0.333,0.0	0.5
1560	"DCTN1"	"DCTN1"	chr2	-	74366243	74366620	74366243	74366375	74366458	74366620	1560	6,1,4	4,32,40	0,0,1	42,18,44	138	69	0.00120953789521	0.0364747207216822	0.429,0.015,0.048	0.0,0.0,0.011	0.16
1624	"DNAJB2"	"DNAJB2"	chr2	+	219284631	219286895	219284631	219284835	219285986	219286895	1624	33,115,161	44,269,269	125,100,111	514,234,380	138	69	2.69388956047e-05	0.003261176203234954	0.273,0.176,0.23	0.108,0.176,0.127	0.089
1738	"SUZ12P1"	"SUZ12P1"	chr17	+	30768833	30769064	30768833	30768867	30769000	30769064	1738	193,231,342	4,3,14	635,871,97	85,45,6	138	69	1.9272874654e-06	0.0005899716875995311	0.96,0.975,0.924	0.789,0.906,0.89	0.091
1863	"MSL1"	"MSL1"	chr17	+	40121970	40123380	40121970	40122760	40123284	40123380	1863	13,161,148	0,0,0	130,122,92	26,0,2	138	69	8.18054306073e-07	0.0003823722168969548	1.0,1.0,1.0	0.714,1.0,0.958	0.109
1864	"SNX21"	"SNX21"	chr20	+	45840638	45843276	45840638	45840780	45842032	45843276	1864	1,13,6	0,0,0	29,17,17	10,1,0	138	69	4.19014250771e-05	0.0042114500013270524	1.0,1.0,1.0	0.592,0.895,1.0	0.171
1867	"PSMG3-AS1"	"PSMG3-AS1"	chr7	+	1584383	1589625	1584383	1585617	1587820	1589625	1867	0,5,30	6,0,2	23,21,11	0,0,0	138	69	0.000750913164669	0.028972645718803588	0.0,1.0,0.882	1.0,1.0,1.0	-0.373
1884	"ZNF582-AS1"	"ZNF582-AS1"	chr19	+	56398276	56399170	56398276	56398383	56398893	56399170	1884	0,5,5	10,5,12	0,0,0	15,9,3	138	69	5.29392491766e-05	0.0047892943327669255	0.0,0.333,0.172	0.0,0.0,0.0	0.168
1902	"H2AJ"	"H2AJ"	chr12	+	14774335	14778002	14774335	14774976	14775290	14778002	1902	39,224,185	0,10,21	243,249,198	43,42,33	138	69	0.000100476055333	0.007319093433283077	1.0,0.918,0.815	0.739,0.748,0.75	0.165
1915	"MYCL"	"MYCL"	chr1	-	39900938	39901917	39900938	39901443	39901807	39901917	1915	0,4,0	6,0,1	12,0,5	0,1,0	138	69	4.04992348992e-05	0.004206670528696534	0.0,1.0,0.0	1.0,0.0,1.0	-0.333
1929	"BOLA3-AS1"	"BOLA3-AS1"	chr2	+	74147980	74148478	74147980	74148223	74148349	74148478	1929	46,171,248	17,6,15	279,328,143	12,6,2	138	69	0.00115893457769	0.03595409244760934	0.575,0.934,0.892	0.921,0.965,0.973	-0.153
2048	"WRN"	"WRN"	chr8	+	31090464	31090940	31090464	31090532	31090833	31090940	2048	0,0,1	4,17,18	8,4,3	58,33,9	138	69	0.000783557335002	0.029695764135312285	0.0,0.0,0.027	0.065,0.057,0.143	-0.079
2052	"UBA7"	"UBA7"	chr3	-	49808975	49809455	49808975	49809159	49809389	49809455	2052	6,39,46	24,105,100	56,31,34	318,109,144	138	69	0.00145468302635	0.04178710767921667	0.111,0.157,0.187	0.081,0.124,0.106	0.048
2074	"SDHAF2"	"SDHAF2"	chr11	+	61438003	61438342	61438003	61438113	61438219	61438342	2074	1,9,11	1,0,0	3,6,6	4,2,1	138	69	0.000153030453808	0.009644357476506427	0.333,1.0,1.0	0.273,0.6,0.75	0.237
2075	"SDHAF2"	"SDHAF2"	chr11	+	61438003	61438342	61438003	61438113	61438244	61438342	2075	1,9,11	0,1,0	3,6,6	19,9,0	138	69	6.16810958032e-06	0.0010724254755257224	1.0,0.818,1.0	0.073,0.25,1.0	0.498
2080	"UBE2Q1"	"UBE2Q1"	chr1	-	154551920	154552301	154551920	154551979	154552092	154552301	2080	7,101,82	90,213,313	25,54,46	595,275,160	138	69	0.000194508228055	0.011247388156293761	0.037,0.192,0.116	0.021,0.089,0.126	0.036
2204	"TRPC1"	"TRPC1"	chr3	+	142743111	142743586	142743111	142743320	142743484	142743586	2204	0,0,2	3,6,7	0,26,2	18,16,5	138	69	0.00114373902914	0.03595409244760934	0.0,0.0,0.125	0.0,0.448,0.167	-0.163
2263	"CTNNBIP1"	"CTNNBIP1"	chr1	-	9871968	9872392	9871968	9872088	9872252	9872392	2263	4,11,6	0,0,0	21,2,10	4,2,1	138	69	6.72199947129e-05	0.005464303628183422	1.0,1.0,1.0	0.724,0.333,0.833	0.37
233	"SEC14L1"	"SEC14L1"	chr17	+	77213917	77217099	77213917	77214019	77216548	77217099	233	392,1269,1383	0,9,4	2069,787,976	33,6,22	138	69	2.87412512023e-06	0.0007327712636077305	1.0,0.986,0.994	0.969,0.985,0.957	0.023
2365	"FCHSD2"	"FCHSD2"	chr11	-	72843133	72843532	72843133	72843328	72843448	72843532	2365	0,3,9	2,4,16	0,1,0	18,9,2	138	69	2.83841232062e-05	0.003261176203234954	0.0,0.273,0.22	0.0,0.053,0.0	0.147
2409	"MTHFD2"	"MTHFD2"	chr2	+	74205704	74206088	74205704	74205889	74205981	74206088	2409	22,37,41	0,0,1	37,28,39	8,2,1	138	69	4.63412084256e-05	0.004405556577274414	1.0,1.0,0.953	0.698,0.875,0.951	0.143
2410	"MTHFD2"	"MTHFD2"	chr2	+	74211740	74212109	74211740	74211866	74211969	74212109	2410	3,12,19	0,6,6	12,42,8	0,0,2	138	69	0.000151856890424	0.009644357476506427	1.0,0.5,0.613	1.0,1.0,0.667	-0.185
