ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	"MLC1"	"MLC1"	chr22	-	50059390	50061657	50059390	50060152	50061452	50061657	0	52,48,321	6,4,16	290,19,111	3,3,1	138	69	0.00174327026631	0.045906117012830004	0.812,0.857,0.909	0.98,0.76,0.982	-0.048
1	"MLC1"	"MLC1"	chr22	-	50059390	50061657	50059390	50060200	50061452	50061657	1	49,41,292	0,0,3	268,22,83	8,2,0	138	69	0.0190046248257	0.20684326339255799	1.0,1.0,0.98	0.944,0.846,1.0	0.063
3	"MLC1"	"MLC1"	chr22	-	50084725	50085426	50084725	50084961	50085138	50085426	3	6,5,22	8,1,23	11,0,6	2,1,7	138	69	0.949387964049	1.0	0.273,0.714,0.324	0.733,0.0,0.3	0.093
4	"MLC1"	"MLC1"	chr22	-	50084725	50085426	50084725	50084961	50085354	50085426	4	6,5,28	19,30,171	11,0,7	146,46,58	138	69	0.00182325134149	0.046409680146349996	0.136,0.077,0.076	0.036,0.0,0.057	0.065
7	"CDC42SE2"	"CDC42SE2"	chr5	+	131390992	131394672	131390992	131391108	131391828	131394672	7	7,107,66	183,1667,1029	68,50,53	1042,1309,647	138	69	0.71883032123	1.0	0.019,0.031,0.031	0.032,0.019,0.039	-0.003
8	"CDC42SE2"	"CDC42SE2"	chr5	+	131390992	131394672	131390992	131391108	131391917	131394672	8	80,1260,933	82,371,194	482,1571,541	314,313,242	138	69	0.982201039154	1.0	0.328,0.629,0.706	0.434,0.715,0.528	-0.005
9	"ABI2"	"ABI2"	chr2	+	203427176	203432169	203427176	203427269	203427495	203432169	9	38,244,271	6,14,14	312,197,241	58,9,18	138	69	0.106061293597	0.5972869435598123	0.76,0.897,0.906	0.729,0.916,0.87	0.016
10	"ABI2"	"ABI2"	chr2	+	203427176	203432169	203427176	203427269	203431000	203432169	10	42,289,314	0,3,2	478,211,294	6,6,2	138	69	0.0787660043855	0.4965547461346723	1.0,0.98,0.987	0.976,0.946,0.987	0.019
11	"TP73-AS1"	"TP73-AS1"	chr1	-	3735983	3740387	3735983	3737854	3740232	3740387	11	0,2,1	0,0,0	5,2,0	5,0,0	138	69	1	1.0	NA,1.0,1.0	0.333,1.0,NA	0.334
12	"TP73-AS1"	"TP73-AS1"	chr1	-	3735983	3740387	3735983	3738513	3740232	3740387	12	0,1,3	0,0,1	5,0,0	4,0,1	138	69	1	1.0	NA,1.0,0.6	0.385,NA,0.0	0.608
15	"RPL41"	"RPL41"	chr12	+	56116632	56116799	56116632	56116659	56116774	56116799	15	148,647,407	51,87,84	745,1659,374	177,298,58	138	69	0.708042495309	1.0	0.592,0.788,0.708	0.678,0.736,0.763	-0.03
25	"SUGT1P4-STRA6LP-CCDC180"	"SUGT1P4-STRA6LP-CCDC180"	chr9	+	97362195	97362441	97362195	97362251	97362362	97362441	25	0,2,0	0,0,0	0,1,0	0,0,1	138	69	1	1.0	NA,1.0,NA	NA,1.0,0.0	0.5
