ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	"MLC1"	"MLC1"	chr22	-	50059390	50061657	50059390	50060152	50061452	50061657	0	0,9,137	6,0,1	52,48,321	6,4,16	138	69	0.885075875756	1.0	0.0,1.0,0.986	0.812,0.857,0.909	-0.197
1	"MLC1"	"MLC1"	chr22	-	50059390	50061657	50059390	50060200	50061452	50061657	1	4,9,161	0,0,0	49,41,292	0,0,3	138	69	1	1.0	1.0,1.0,1.0	1.0,1.0,0.98	0.007
3	"MLC1"	"MLC1"	chr22	-	50084725	50085426	50084725	50084961	50085138	50085426	3	0,0,12	0,0,9	6,5,22	8,1,23	138	69	1	1.0	NA,NA,0.4	0.273,0.714,0.324	-0.037
4	"MLC1"	"MLC1"	chr22	-	50084725	50085426	50084725	50084961	50085354	50085426	4	0,0,13	2,0,47	6,5,28	19,30,171	138	69	1	1.0	0.0,NA,0.121	0.136,0.077,0.076	-0.036
7	"CDC42SE2"	"CDC42SE2"	chr5	+	131390992	131394672	131390992	131391108	131391828	131394672	7	9,0,179	223,0,2728	7,107,66	183,1667,1029	138	69	1	1.0	0.02,NA,0.032	0.019,0.031,0.031	-0.001
8	"CDC42SE2"	"CDC42SE2"	chr5	+	131390992	131394672	131390992	131391108	131391917	131394672	8	66,0,2217	167,8,415	80,1260,933	82,371,194	138	69	0.0453227170589	1.0	0.165,0.0,0.728	0.328,0.629,0.706	-0.257
9	"ABI2"	"ABI2"	chr2	+	203427176	203432169	203427176	203427269	203427495	203432169	9	16,0,283	3,0,26	38,244,271	6,14,14	138	69	1	1.0	0.727,NA,0.845	0.76,0.897,0.906	-0.068
10	"ABI2"	"ABI2"	chr2	+	203427176	203432169	203427176	203427269	203431000	203432169	10	16,0,349	0,0,2	42,289,314	0,3,2	138	69	1	1.0	1.0,NA,0.989	1.0,0.98,0.987	0.005
12	"TP73-AS1"	"TP73-AS1"	chr1	-	3735983	3740387	3735983	3738513	3740232	3740387	12	0,0,0	0,0,1	0,1,3	0,0,1	138	69	1	1.0	NA,NA,0.0	NA,1.0,0.6	-0.8
15	"RPL41"	"RPL41"	chr12	+	56116632	56116799	56116632	56116659	56116774	56116799	15	68,0,1073	6,10,199	148,647,407	51,87,84	138	69	0.220351529346	1.0	0.85,0.0,0.729	0.592,0.788,0.708	-0.17
