ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
10615	"C9orf78"	"C9orf78"	chr9	-	129834706	129834766	129833657	129833709	129835138	129835275	10615	4,3,50	0,0,10	64,39,46	0,0,0	129	69	1.02422590399e-05	0.01041395765823441	1.0,1.0,0.728	1.0,1.0,1.0	-0.091
12522	"NAP1L1"	"NAP1L1"	chr12	-	76068908	76068994	76067370	76067473	76084566	76084685	12522	2441,41,12369	7,0,289	17698,15073,10088	154,78,58	138	69	9.66404734015e-12	6.771718771834857e-08	0.994,1.0,0.955	0.983,0.99,0.989	-0.004
13092	"MBOAT2"	"MBOAT2"	chr2	-	8943186	8943264	8908620	8908716	9003539	9003684	13092	149,1,634	7,0,20	1872,2689,448	22,7,19	138	69	6.94385463154e-05	0.04153450616300858	0.914,1.0,0.941	0.977,0.995,0.922	-0.013
1555	"RPS21"	"RPS21"	chr20	+	62387842	62387914	62387610	62387674	62388308	62388364	1555	429,32,173	0,0,0	407,499,117	18,5,0	138	69	4.32204689524e-05	0.029190479856201042	1.0,1.0,1.0	0.919,0.98,1.0	0.034
15977	"RCAN3"	"RCAN3"	chr1	+	24531217	24531391	24514313	24514567	24533082	24533254	15977	10,20,89	0,0,0	218,85,120	18,2,11	138	69	8.48277774024e-07	0.0014859970993269802	1.0,1.0,1.0	0.858,0.955,0.845	0.114
16859	"MDH2"	"MDH2"	chr7	+	76054829	76054998	76048105	76048226	76057409	76057493	16859	134,24,352	0,0,9	279,163,163	26,10,11	138	69	1.48022438462e-06	0.0022036192302283494	1.0,1.0,0.951	0.843,0.891,0.881	0.112
17278	"C11orf21"	"C11orf21"	chr11	-	2300519	2300613	2299427	2299707	2301755	2301918	17278	55,13,586	0,0,4	377,444,793	2,8,32	138	69	7.40900412833e-05	0.04238025963487702	1.0,1.0,0.987	0.99,0.965,0.925	0.036
17935	"PTK2"	"PTK2"	chr8	-	140669726	140669735	140668268	140668424	140674297	140674404	17935	2,0,43	52,7,478	132,42,43	521,258,229	78	69	5.48585567195e-07	0.0010250687046750038	0.033,0.0,0.074	0.183,0.126,0.142	-0.115
22378	"LINC00989"	"LINC00989"	chr4	+	79513784	79513902	79493151	79493585	79575140	79576460	22378	1147,1,6876	36,0,263	4906,6675,2435	42,254,31	138	69	1.71240376478e-05	0.013911915629314849	0.941,1.0,0.929	0.983,0.929,0.975	-0.006
22854	"MED1"	"MED1"	chr17	-	39440385	39440518	39439164	39439193	39440622	39440677	22854	32,16,35	0,0,0	59,51,28	4,6,0	138	69	7.33443352403e-05	0.04238025963487702	1.0,1.0,1.0	0.881,0.81,1.0	0.103
22942	"USP12"	"USP12"	chr13	-	27071070	27071149	27066155	27069384	27075190	27075388	22942	165,1,1337	0,0,14	1661,777,1145	57,16,26	138	69	1.35082354417e-05	0.011831736783677764	1.0,1.0,0.979	0.936,0.96,0.957	0.042
23808	"CDC14B"	"CDC14B"	chr9	-	96565392	96565483	96564776	96564852	96619218	96619843	23808	188,1,1808	12,0,18	2428,1559,1153	9,9,4	138	69	7.03886773371e-05	0.04153450616300858	0.887,1.0,0.98	0.993,0.989,0.993	-0.036
23809	"CDC14B"	"CDC14B"	chr9	-	96565392	96565512	96564776	96564852	96619218	96619843	23809	129,1,893	12,0,18	1730,1299,782	9,9,4	138	69	2.71171578858e-07	0.0005630024146682557	0.843,1.0,0.961	0.99,0.986,0.99	-0.054
24800	"LDHA"	"LDHA"	chr11	+	18399430	18399548	18396818	18396968	18400836	18401010	24800	68,57,196	0,0,0	137,154,61	16,0,0	138	69	3.46545089076e-05	0.024282847572916662	1.0,1.0,1.0	0.811,1.0,1.0	0.063
25161	"TANK"	"TANK"	chr2	+	161230970	161231551	161224630	161224746	161235341	161236213	25161	25,12,41	0,0,0	68,80,38	24,2,1	138	69	8.39531639174e-06	0.008904889113074011	1.0,1.0,1.0	0.586,0.952,0.95	0.171
25767	"SNHG6"	"SNHG6"	chr8	-	66922323	66922392	66921689	66922114	66922613	66922725	25767	328,6,5814	6,0,26	2251,4035,710	20,94,3	138	69	5.03250291439e-07	0.0009727828133515871	0.965,1.0,0.991	0.983,0.955,0.992	0.009
2586	"TPT1"	"TPT1"	chr13	-	45340711	45340785	45339993	45340184	45341041	45341183	2586	1992,77,4437	41,0,171	12055,6616,4367	165,150,22	138	69	1.03577717514e-08	3.4154447709895875e-05	0.96,1.0,0.928	0.973,0.957,0.99	-0.011
26866	"STXBP2"	"STXBP2"	chr19	+	7643164	7643245	7642982	7643048	7644613	7644752	26866	364,8,3200	0,0,495	3200,2344,2219	2,7,2	138	69	1.34114941375e-13	1.8795203171645935e-09	1.0,1.0,0.764	0.999,0.994,0.998	-0.076
